mean_fpktl,std_fpktl,mean_bpktl,std_bpktl,mean_fiat,std_fiat,mean_biat,std_biat,fpkt_rate,fbyte_rate,bpkt_rate,bbyte_rate,class
65,6,110,35,66802,38581,20205,27272,2.23E-05,0.001451627,2.23E-05,0.0024566,DNS
72,7,150,44,130795,143136,141737,183164,7.41E-06,0.000535707,7.41E-06,0.001117869,DNS
65,5,114,30,66802,38581,20205,27272,5.35E-08,3.48E-06,5.35E-08,6.13E-06,DNS
71,6,136,28,109757,136792,41710,27712,1.22E-06,8.72E-05,1.22E-06,0.000165944,DNS
71,5,134,24,160566,164140,39770,24388,2.62E-07,1.86E-05,2.62E-07,3.53E-05,DNS
71,5,135,21,130256,136823,37486,21623,3.41E-07,2.43E-05,3.41E-07,4.63E-05,DNS
70,7,136,18,92426,111407,38183,37707,3.60E-07,2.54E-05,3.60E-07,4.91E-05,DNS
69,7,130,22,101454,110223,43170,38389,2.84E-07,1.97E-05,2.84E-07,3.71E-05,DNS
68,7,128,24,109918,116280,45945,37912,2.38E-07,1.63E-05,2.38E-07,3.06E-05,DNS
69,4,156,26,214975,181012,178219,214641,8.12E-07,5.66E-05,6.77E-07,0.000106158,DNS
68,7,125,25,149228,224455,49170,40139,4.93E-08,3.37E-06,4.93E-08,6.20E-06,DNS
66,5,144,29,167294,118613,135890,147310,1.08E-06,7.13E-05,1.08E-06,0.0001559,DNS
65,5,145,28,164554,111257,121115,144750,7.10E-07,4.65E-05,7.10E-07,0.000103284,DNS
65,4,140,31,198298,181353,155600,220906,4.84E-08,3.17E-06,4.84E-08,6.79E-06,DNS
65,4,134,34,191825,175194,143706,215806,2.69E-08,1.76E-06,2.69E-08,3.63E-06,DNS
65,4,138,32,175454,163724,127433,199109,2.97E-08,1.93E-06,2.97E-08,4.10E-06,DNS
65,6,110,35,47459,65695,956,117,3.14E-05,0.002038875,3.14E-05,0.003450403,DNS
63,5,104,29,80478,49438,48767,79169,1.08E-07,6.87E-06,1.08E-07,1.13E-05,DNS
63,5,101,28,80478,49438,48767,79169,1.20E-07,7.69E-06,1.08E-07,1.10E-05,DNS
63,4,106,25,80478,49438,172669,335686,1.27E-07,8.05E-06,1.27E-07,1.35E-05,DNS
64,5,106,25,80478,49438,172669,335686,1.39E-07,8.97E-06,1.19E-07,1.26E-05,DNS
64,5,100,26,80478,49438,172669,335686,1.31E-07,8.48E-06,1.31E-07,1.31E-05,DNS
64,5,104,26,172111,302780,140075,297898,1.63E-07,1.06E-05,1.55E-07,1.62E-05,DNS
66,7,107,27,158841,288532,130008,282659,1.79E-07,1.18E-05,1.72E-07,1.85E-05,DNS
65,7,105,27,224810,350425,130008,282659,1.89E-07,1.23E-05,1.82E-07,1.92E-05,DNS
63,6,112,28,214507,281792,129526,227609,2.38E-07,1.52E-05,2.38E-07,2.67E-05,DNS
63,6,112,28,196926,271286,116672,218901,1.85E-07,1.18E-05,1.85E-07,2.07E-05,DNS
63,6,112,28,196926,271286,116672,218901,1.51E-07,9.65E-06,1.48E-07,1.65E-05,DNS
63,6,111,29,196926,271286,116672,218901,1.50E-07,9.55E-06,1.50E-07,1.66E-05,DNS
61,3,133,53,289119,193438,180929,213622,4.33E-08,2.64E-06,3.46E-08,4.61E-06,DNS
61,3,132,46,289119,193438,180929,213622,4.23E-08,2.58E-06,4.23E-08,5.61E-06,DNS
67,6,117,32,47515,65767,1007,185,6.58E-07,4.41E-05,6.58E-07,7.69E-05,DNS
66,6,117,32,47515,65767,1007,185,2.33E-07,1.54E-05,1.86E-07,2.18E-05,DNS
67,5,115,28,179559,289993,108112,177683,5.98E-07,4.01E-05,5.66E-07,6.55E-05,DNS
67,5,115,28,170224,281773,103214,171693,5.57E-07,3.74E-05,5.57E-07,6.45E-05,DNS
66,5,115,28,160851,265364,94264,161778,2.61E-07,1.74E-05,2.61E-07,3.00E-05,DNS
66,5,115,28,146737,253830,84171,154779,2.08E-07,1.39E-05,2.08E-07,2.40E-05,DNS
66,5,113,28,144096,247342,79793,151624,1.70E-07,1.13E-05,1.70E-07,1.93E-05,DNS
66,5,113,28,137293,243087,72454,145699,1.76E-07,1.17E-05,1.76E-07,2.00E-05,DNS
66,5,113,28,131106,238997,66250,140431,1.39E-07,9.22E-06,1.39E-07,1.58E-05,DNS
66,5,114,28,122242,230438,61053,135650,1.27E-07,8.43E-06,1.27E-07,1.45E-05,DNS
66,5,117,29,148149,228699,93898,194633,1.43E-07,9.55E-06,1.43E-07,1.68E-05,DNS
63,5,139,27,152045,122693,99608,164128,9.48E-07,5.98E-05,9.48E-07,0.000132173,DNS
62,5,133,28,144872,115390,93957,152792,1.05E-07,6.56E-06,9.65E-08,1.29E-05,DNS
65,7,128,29,192281,276166,63091,130133,1.40E-07,9.20E-06,1.40E-07,1.81E-05,DNS
60,4,125,26,110828,128220,103990,127454,3.15E-06,0.000189821,3.15E-06,0.000396575,DNS
60,4,132,31,110828,128220,103990,127454,1.46E-07,8.86E-06,1.46E-07,1.93E-05,DNS
62,6,112,30,26153,39538,2809,2522,1.41E-06,8.80E-05,1.41E-06,0.000158715,DNS
59,3,117,15,199520,146877,132251,185508,7.11E-07,4.25E-05,7.11E-07,8.33E-05,DNS
59,2,113,15,334551,23302,75409,42642,8.07E-07,4.76E-05,6.46E-07,7.30E-05,DNS
59,2,110,14,334551,23302,75409,42642,5.65E-07,3.33E-05,5.65E-07,6.23E-05,DNS
61,5,110,14,334551,23302,75409,42642,2.10E-08,1.29E-06,1.75E-08,1.93E-06,DNS
62,6,104,20,334551,23302,75409,42642,2.40E-08,1.50E-06,2.05E-08,2.14E-06,DNS
62,6,99,22,334551,23302,75409,42642,2.30E-08,1.44E-06,2.30E-08,2.29E-06,DNS
65,6,85,17,47577,65978,915,60,3.13E-05,0.002033856,3.13E-05,0.002659658,DNS
68,6,118,31,81802,138576,72082,171668,6.26E-07,4.26E-05,5.56E-07,6.59E-05,DNS
69,7,136,15,26266,26341,22522,27410,4.33E-05,0.002988905,4.33E-05,0.005891176,DNS
68,6,115,32,81802,138576,72082,171668,4.90E-07,3.34E-05,4.62E-07,5.35E-05,DNS
68,6,113,33,81802,138576,72082,171668,4.31E-07,2.94E-05,4.31E-07,4.88E-05,DNS
