mean_fpktl,std_fpktl,mean_bpktl,std_bpktl,mean_fiat,std_fiat,mean_biat,std_biat,fpkt_rate,fbyte_rate,bpkt_rate,bbyte_rate,class
46,4,60,17,21859,40481,16003,33664,4.99E-05,0.002299807,6.65E-05,0.004054813,FTP
45,4,62,16,75814,120421,59666,101284,1.71E-06,7.76E-05,2.16E-06,0.000135907,FTP
46,5,60,15,20136,43592,5501,9653,5.46E-05,0.002552566,5.96E-05,0.003610341,FTP
46,5,60,15,20230,46156,4836,8013,5.44E-05,0.002540718,5.93E-05,0.003593584,FTP
48,8,74,11,30631,88522,29214,86217,1.00E-05,0.000483398,1.03E-05,0.000763813,FTP
47,6,69,24,187913,273267,137807,171969,2.92E-06,0.000139692,3.90E-06,0.000270288,FTP
47,8,71,26,40127,84726,25829,59765,2.50E-06,0.000118526,2.50E-06,0.000178415,FTP
48,7,69,25,206432,285341,149348,200244,3.49E-06,0.000167489,4.93E-06,0.000341721,FTP
48,8,74,11,30483,88332,35422,105255,4.90E-06,0.000236345,5.08E-06,0.000378147,FTP
48,7,69,25,211596,290088,159286,203539,3.06E-06,0.000147102,4.23E-06,0.000295038,FTP
48,8,74,11,38176,146914,35422,105255,4.96E-06,0.000238416,5.05E-06,0.00037561,FTP
48,7,70,25,204053,277979,153197,196361,3.14E-06,0.000151013,4.28E-06,0.000300599,FTP
48,8,74,11,39501,147830,35422,105255,3.53E-06,0.000169693,3.58E-06,0.000266332,FTP
48,8,74,25,59634,65331,48352,50180,2.37E-06,0.000115533,2.81E-06,0.000210634,FTP
48,8,74,11,40307,147950,35422,105255,2.69E-06,0.000129265,2.72E-06,0.000202122,FTP
47,8,74,10,40750,147744,35422,105255,2.19E-06,0.000105091,2.20E-06,0.000163669,FTP
48,8,74,25,59634,65331,48352,50180,1.19E-06,5.82E-05,1.42E-06,0.000105882,FTP
47,8,74,11,41848,148276,35422,105255,1.85E-06,8.85E-05,1.85E-06,0.000137418,FTP
48,8,74,25,63537,73001,54584,81418,1.11E-06,5.38E-05,1.32E-06,9.82E-05,FTP
48,8,73,25,64736,73833,54266,81214,1.09E-06,5.30E-05,1.30E-06,9.61E-05,FTP
47,8,74,10,42591,148334,35422,105255,1.60E-06,7.66E-05,1.59E-06,0.000118614,FTP
47,8,74,11,42029,147387,37683,111214,1.40E-06,6.67E-05,1.38E-06,0.000102685,FTP
47,8,74,11,43057,147838,37683,111214,1.28E-06,6.14E-05,1.27E-06,9.41E-05,FTP
48,8,73,25,68622,79619,57247,88845,7.83E-07,3.80E-05,9.32E-07,6.88E-05,FTP
48,8,73,25,77503,110241,67538,119858,7.66E-07,3.71E-05,9.18E-07,6.74E-05,FTP
47,8,74,11,43594,147587,37517,110986,1.17E-06,5.57E-05,1.15E-06,8.50E-05,FTP
48,8,73,25,81187,112619,70130,118412,7.75E-07,3.75E-05,9.32E-07,6.81E-05,FTP
47,8,73,11,44451,147809,37350,110760,1.08E-06,5.14E-05,1.06E-06,7.83E-05,FTP
47,8,73,11,48101,157271,40022,117430,9.93E-07,4.74E-05,9.77E-07,7.22E-05,FTP
47,8,73,11,51779,166333,40022,117430,9.25E-07,4.41E-05,9.06E-07,6.70E-05,FTP
47,8,74,11,53094,167136,40022,117430,8.68E-07,4.13E-05,8.47E-07,6.27E-05,FTP
47,8,74,11,53996,167319,40022,117430,8.18E-07,3.89E-05,7.95E-07,5.89E-05,FTP
47,8,74,11,54639,167232,40022,117430,7.73E-07,3.68E-05,7.48E-07,5.55E-05,FTP
