mean_fpktl,std_fpktl,mean_bpktl,std_bpktl,mean_fiat,std_fiat,mean_biat,std_biat,fpkt_rate,fbyte_rate,bpkt_rate,bbyte_rate,class
226,207,890,607,17430,28950,15731,27594,2.04E-06,0.000460794,2.04E-06,0.001815378,HTTP
189,272,1011,626,59904,84696,34611,54697,1.94E-06,0.000366938,1.45E-06,0.001470294,HTTP
189,357,657,737,32149,45948,26015,29416,3.73E-05,0.007085757,3.11E-05,0.020436094,HTTP
236,202,843,648,33136,41631,21979,33519,3.78E-06,0.000892856,5.38E-06,0.004535352,HTTP
115,204,819,705,55738,67912,65198,69715,1.56E-05,0.001800247,1.37E-05,0.0111998,HTTP
111,227,1273,521,7365,11827,5443,9648,0.000145473,0.016176585,0.000135775,0.172841182,HTTP
214,204,960,596,20140,29155,17178,27252,2.17E-06,0.000464982,2.31E-06,0.002219431,HTTP
239,368,522,807,70244,85645,82951,72552,1.90E-05,0.004536568,1.42E-05,0.007435985,HTTP
229,201,863,639,34066,41019,22324,33191,3.89E-06,0.000893094,5.62E-06,0.004854135,HTTP
250,406,151,188,100408,86480,74030,98979,1.33E-05,0.003319778,9.96E-06,0.001503859,HTTP
97,172,1278,514,30741,122901,32399,126475,3.43E-05,0.003339671,3.25E-05,0.041577814,HTTP
236,216,1074,519,22214,36993,18986,32648,1.32E-06,0.000312976,1.40E-06,0.001504579,HTTP
325,423,603,751,90445,80761,102568,61534,5.08E-07,0.000165357,4.23E-07,0.000255529,HTTP
183,280,1144,565,44612,69604,32358,63886,1.44E-06,0.000264168,1.23E-06,0.00140279,HTTP
259,431,751,703,58080,91110,43639,60621,3.35E-07,8.68E-05,2.98E-07,0.000223842,HTTP
225,207,1031,595,27323,34630,18328,29258,1.82E-06,0.000410653,2.36E-06,0.002430593,HTTP
370,453,205,179,114216,64776,49727,81671,4.11E-07,0.000152199,3.08E-07,6.32E-05,HTTP
232,215,1068,533,22475,36361,18693,31821,1.17E-06,0.000272849,1.23E-06,0.001319331,HTTP
170,271,1189,539,38305,65427,27841,58671,1.50E-06,0.000256651,1.33E-06,0.001578737,HTTP
274,443,780,683,65668,100425,47708,67076,3.94E-07,0.000108213,3.64E-07,0.000284159,HTTP
213,204,1063,584,25834,33897,17228,28596,1.67E-06,0.000357464,2.08E-06,0.002209362,HTTP
388,448,228,175,122236,61177,49727,81671,3.91E-07,0.000151816,2.73E-07,6.25E-05,HTTP
220,211,1055,559,24436,37686,19723,31965,1.07E-06,0.000237425,1.10E-06,0.00115751,HTTP
155,259,1176,558,30477,59085,21149,50232,1.60E-06,0.000248211,1.53E-06,0.001800475,HTTP
327,281,470,127,125251,66877,209789,123224,6.49E-07,0.000212696,2.99E-07,0.000140758,HTTP
313,469,795,660,86557,118379,64198,84316,4.18E-07,0.000131074,3.96E-07,0.000315221,HTTP
193,198,1148,541,24327,31901,15411,28284,1.70E-06,0.000328346,2.14E-06,0.002459751,HTTP
407,438,259,163,125005,52105,49727,81671,3.68E-07,0.000149823,2.37E-07,6.15E-05,HTTP
214,209,1023,581,25560,39178,19227,31008,1.01E-06,0.000215714,1.02E-06,0.00104791,HTTP
147,252,1229,519,26615,55388,17958,46068,1.72E-06,0.000254299,1.65E-06,0.002029987,HTTP
319,278,483,101,167886,177252,453949,368921,8.06E-07,0.000257778,3.93E-07,0.000189959,HTTP
322,474,806,659,95123,127032,69841,90390,4.68E-07,0.000151171,4.50E-07,0.000363013,HTTP
195,198,1146,545,24374,31056,15358,27642,1.75E-06,0.000341011,2.16E-06,0.002481502,HTTP
399,432,251,163,133084,49216,30873,63262,3.87E-07,0.00015479,2.85E-07,7.18E-05,HTTP
197,201,1165,508,23067,34925,17411,32522,1.33E-06,0.000262584,1.39E-06,0.001622489,HTTP
139,244,1241,513,22416,50615,14527,40385,2.00E-06,0.000278992,1.96E-06,0.002430799,HTTP
325,276,491,83,180415,192150,456140,330341,9.91E-07,0.000322987,4.78E-07,0.000234942,HTTP
325,475,815,659,124093,180477,100972,153943,5.60E-07,0.000182309,5.45E-07,0.000444344,HTTP
201,200,1162,524,24406,32522,16246,31250,1.53E-06,0.000307879,1.81E-06,0.002100283,HTTP
415,432,272,154,131026,42805,30873,63262,4.27E-07,0.000177457,2.90E-07,7.91E-05,HTTP
190,199,1164,509,23321,35338,17318,31935,1.33E-06,0.000253933,1.40E-06,0.001632329,HTTP
141,246,1254,500,23854,53070,16069,48034,2.03E-06,0.000287226,1.96E-06,0.002459405,HTTP
318,274,494,73,186016,185755,446828,278543,1.05E-06,0.00033274,5.23E-07,0.000258722,HTTP
331,478,819,655,126388,179076,102970,152352,5.61E-07,0.000185913,5.47E-07,0.000448804,HTTP
285,278,443,167,234621,326127,647203,506548,1.36E-06,0.000388692,6.81E-07,0.000302197,HTTP
202,200,1164,521,24441,32340,16105,31138,1.45E-06,0.000292779,1.70E-06,0.001982839,HTTP
419,431,277,151,130453,41182,30873,63262,4.23E-07,0.000177425,2.82E-07,7.83E-05,HTTP
176,193,1181,508,21248,33779,15817,30229,1.38E-06,0.000244304,1.45E-06,0.001710681,HTTP
138,243,1272,483,22596,51684,14967,45983,1.96E-06,0.000272668,1.89E-06,0.002408321,HTTP
319,274,496,68,185282,180685,451282,268755,1.06E-06,0.000339636,5.32E-07,0.000264254,HTTP
337,481,831,656,133530,183591,105906,163848,5.82E-07,0.00019638,5.59E-07,0.000465104,HTTP
303,274,475,118,254912,312089,704853,408317,1.37E-06,0.000415666,6.84E-07,0.000325098,HTTP
203,200,1167,517,24588,32191,15979,31022,1.33E-06,0.000271282,1.57E-06,0.001827631,HTTP
413,429,290,143,133896,39477,30873,63262,4.04E-07,0.000166926,2.65E-07,7.71E-05,HTTP
176,193,1187,505,21488,33770,15670,30110,1.26E-06,0.000222866,1.31E-06,0.001549425,HTTP
137,242,1270,486,21990,50908,14698,45115,2.03E-06,0.000279597,1.98E-06,0.002509383,HTTP
314,273,498,61,190822,177359,443178,239347,1.14E-06,0.000357706,5.80E-07,0.000288977,HTTP
335,480,830,656,128453,179138,100598,158871,6.09E-07,0.000204212,5.87E-07,0.000487365,HTTP
310,273,485,96,264027,292620,700170,351508,1.35E-06,0.000419723,6.75E-07,0.000328213,HTTP
200,199,1183,508,25145,31950,15713,30366,1.24E-06,0.000247866,1.47E-06,0.001734631,HTTP
416,429,294,140,135224,38613,30873,63262,4.18E-07,0.000174215,2.71E-07,7.97E-05,HTTP
315,273,499,57,194818,180465,459442,240560,1.17E-06,0.000368693,5.94E-07,0.000296868,HTTP
309,272,491,82,256077,266595,646768,310264,1.40E-06,0.000433126,7.13E-07,0.000350373,HTTP
316,272,500,54,194907,183396,463848,250216,1.19E-06,0.000375902,6.03E-07,0.000301882,HTTP
315,272,494,73,245702,248895,622549,292093,1.41E-06,0.000446547,7.07E-07,0.000349793,HTTP
318,272,501,51,189798,177934,448707,246326,1.24E-06,0.000395934,6.25E-07,0.000313184,HTTP
