mean_fpktl,std_fpktl,mean_bpktl,std_bpktl,mean_fiat,std_fiat,mean_biat,std_biat,fpkt_rate,fbyte_rate,bpkt_rate,bbyte_rate,class
48,8,42,4,90232,127501,63561,101211,1.57E-05,0.000754986,2.10E-05,0.000880817,lime
48,8,42,4,93803,130509,63156,107763,1.58E-05,0.000759882,2.11E-05,0.00088653,lime
48,8,42,4,135739,189965,99456,149536,1.01E-05,0.000482562,1.34E-05,0.000562989,lime
48,8,42,4,85341,115719,57319,98159,1.74E-05,0.000837141,2.33E-05,0.000976665,lime
993,669,85,124,323973,221351,323972,239043,2.46E-06,0.002442139,2.46E-06,0.000210576,lime
217,261,121,178,208320,234455,245422,297049,5.76E-06,0.001250955,4.80E-06,0.000584675,lime
1144,544,63,112,226423,282228,226470,282008,3.70E-06,0.004236017,3.70E-06,0.000236559,lime
1121,584,67,99,213943,261405,213942,271106,4.99E-06,0.005593319,4.99E-06,0.000338092,lime
1124,585,71,102,324799,241900,324799,253411,1.96E-06,0.002202436,1.96E-06,0.000139553,lime
49,8,43,6,113576,160385,76221,130693,1.31E-05,0.000647111,1.75E-05,0.000752047,lime
303,491,175,266,243140,278760,256269,297755,5.20E-06,0.001577669,5.20E-06,0.000914345,lime
300,551,274,379,525370,355303,421890,384153,2.37E-06,0.000711072,2.84E-06,0.000781231,lime
1303,395,52,81,173790,220608,234044,260358,3.79E-06,0.004939576,2.83E-06,0.000148351,lime
252,356,152,246,451780,317410,451776,311121,2.77E-06,0.00069944,2.77E-06,0.000421102,lime
358,340,84,143,748135,268802,698293,320793,1.43E-06,0.000513726,1.53E-06,0.000128312,lime
1199,520,60,85,214950,262667,214949,269816,2.77E-06,0.003324274,2.77E-06,0.000166957,lime
1063,643,76,137,246024,294422,245426,293165,3.03E-06,0.003218136,3.03E-06,0.000232865,lime
1230,503,60,83,381932,309594,381932,315299,9.22E-07,0.001134746,9.22E-07,5.57E-05,lime
191,363,113,189,227088,221794,309342,195066,1.05E-06,0.000201305,1.05E-06,0.000118565,lime
191,363,113,189,260363,214056,260364,218181,4.48E-06,0.00085968,4.48E-06,0.000506334,lime
192,264,113,191,415103,326553,415100,320909,2.81E-06,0.00053962,2.81E-06,0.000319998,lime
1239,494,66,125,178311,233183,189455,237629,5.69E-06,0.007051684,5.36E-06,0.000357273,lime
61,21,169,253,342210,298775,355377,306368,3.75E-06,0.000231668,3.75E-06,0.000634978,lime
1310,374,62,145,171297,220394,248678,270330,4.00E-06,0.005238298,2.78E-06,0.000174958,lime
57,24,210,288,412668,576251,414153,581470,3.62E-06,0.000208847,3.62E-06,0.000761747,lime
383,250,64,107,771415,210590,743876,251359,1.34E-06,0.000515925,1.39E-06,8.95E-05,lime
1300,419,51,64,255313,275655,255312,279488,1.72E-06,0.002238826,1.72E-06,8.85E-05,lime
1322,373,47,62,103578,164030,107909,166631,5.52E-06,0.007295964,5.30E-06,0.000251827,lime
1270,472,57,76,380279,323490,380279,328098,7.79E-07,0.000989372,7.79E-07,4.50E-05,lime
308,498,168,249,375939,324327,389092,334829,3.43E-06,0.0010554,3.43E-06,0.000578243,lime
218,410,125,204,282280,324366,357942,280396,7.33E-07,0.000160266,7.33E-07,9.22E-05,lime
197,378,113,191,289208,267562,297107,272548,1.48E-06,0.000291261,1.48E-06,0.00016797,lime
192,264,113,189,410384,321704,410385,319802,2.84E-06,0.000545822,2.84E-06,0.000321239,lime
215,404,130,217,182443,257956,332922,287416,2.61E-07,5.63E-05,2.61E-07,3.41E-05,lime
1327,365,48,52,294896,310492,294896,312768,1.75E-06,0.002328694,1.75E-06,8.44E-05,lime
304,493,167,250,412668,576251,414153,581470,2.07E-06,0.000628956,2.07E-06,0.000346779,lime
1333,356,47,57,107334,157928,111418,160045,3.43E-06,0.004568593,3.31E-06,0.000156069,lime
1293,411,52,62,431665,328309,431665,331101,9.12E-07,0.001179534,9.12E-07,4.80E-05,lime
1290,447,63,113,185099,238156,200107,243476,5.45E-06,0.007029395,5.04E-06,0.000322123,lime
392,213,57,90,761299,191438,741275,224374,1.32E-06,0.000520301,1.36E-06,7.76E-05,lime
1222,506,64,109,128681,212138,135128,211512,8.14E-06,0.009953634,7.77E-06,0.000499513,lime
1328,347,57,126,155372,197843,219474,243933,3.77E-06,0.005011685,2.69E-06,0.000154099,lime
223,422,135,207,261134,237745,326412,216109,4.60E-06,0.001028567,3.83E-06,0.000519262,lime
50,19,42,4,181854,205611,242464,210544,6.87E-06,0.000347791,5.50E-06,0.000230944,lime
197,378,107,175,347056,256405,347054,269141,3.36E-06,0.000663667,3.36E-06,0.000361607,lime
179,278,107,175,433185,335422,433183,332482,2.69E-06,0.000482467,2.69E-06,0.000290096,lime
193,365,107,173,266652,216870,266649,230035,4.38E-06,0.000845033,4.38E-06,0.000470018,lime
216,405,125,204,276740,470597,571865,493632,2.91E-07,6.30E-05,2.91E-07,3.65E-05,lime
1348,328,46,46,290005,312348,318260,320641,1.91E-06,0.002575019,1.74E-06,8.17E-05,lime
1196,504,66,103,104009,243844,101109,244803,2.49E-06,0.00298354,2.49E-06,0.000166403,lime
1345,337,46,52,119870,198746,123739,201147,3.09E-06,0.004151736,3.00E-06,0.000138364,lime
1315,393,51,58,425567,325032,425567,327763,8.79E-07,0.001157159,8.79E-07,4.55E-05,lime
1315,425,58,98,193637,239521,205412,243228,4.97E-06,0.006546181,4.69E-06,0.000274414,lime
401,188,53,79,779819,175442,763576,205783,1.28E-06,0.000512925,1.30E-06,6.94E-05,lime
1147,594,80,113,61809,69112,65671,77738,1.71E-05,0.019658243,1.62E-05,0.001306616,lime
1365,299,66,170,128401,249087,189760,289607,7.87E-06,0.0107375,5.35E-06,0.000357872,lime
1345,327,55,118,146136,182038,216971,231769,3.56E-06,0.004794523,2.40E-06,0.000132135,lime
247,466,133,204,403980,366208,350780,405038,2.97E-06,0.000735679,2.48E-06,0.000330709,lime
217,406,134,203,256144,235472,320174,216016,4.68E-06,0.001018163,3.90E-06,0.000523917,lime
210,376,146,205,106968,108534,113952,128429,1.09E-05,0.002290401,7.79E-06,0.00113741,lime
199,383,106,172,273329,211497,273328,229817,4.27E-06,0.000850004,4.27E-06,0.00045488,lime
1354,304,52,80,295136,301893,313150,306994,1.96E-06,0.002652438,1.84E-06,9.70E-05,lime
1313,359,53,69,69278,161272,68009,161606,2.49E-06,0.003278061,2.49E-06,0.000133453,lime
1334,353,59,147,129267,208794,131909,211604,2.51E-06,0.003348309,2.47E-06,0.000147038,lime
1324,367,50,52,404495,321024,404494,323238,9.24E-07,0.001223603,9.24E-07,4.66E-05,lime
