mean_fpktl,std_fpktl,mean_bpktl,std_bpktl,mean_fiat,std_fiat,mean_biat,std_biat,fpkt_rate,fbyte_rate,bpkt_rate,bbyte_rate,class
225,248,231,254,40103,61819,42274,44619,2.64E-05,0.005958047,2.49E-05,0.005768833,localForwarding
1485,127,58,32,1901,13501,3586,18743,0.000525952,0.781263924,0.000278912,0.016380032,localForwarding
1487,123,58,31,1751,13527,3321,19047,0.000517803,0.770014798,0.000274387,0.01605857,localForwarding
1489,109,58,27,1578,10547,3000,14851,0.000591328,0.881017944,0.000313112,0.018180167,localForwarding
1488,115,58,29,1619,11772,3086,16676,0.000530318,0.789609236,0.000280503,0.016391684,localForwarding
1489,114,58,29,1572,10543,2999,14945,0.000539792,0.803774675,0.000285518,0.016670319,localForwarding
1490,106,58,27,1507,9322,2872,13193,0.000579692,0.864049913,0.00030637,0.01780535,localForwarding
1488,119,58,37,1555,9404,2978,13402,0.000517706,0.770456898,0.000274058,0.016145376,localForwarding
1485,131,59,40,1615,9387,3095,13412,0.000471948,0.701258207,0.000250019,0.014841289,localForwarding
1486,126,59,37,1589,8760,3038,12476,0.000496008,0.737502252,0.000262933,0.015526392,localForwarding
1487,123,58,36,1573,8385,3010,11970,0.000502286,0.747132364,0.000266054,0.015685313,localForwarding
1486,126,59,37,1579,8202,3024,11736,0.000489266,0.727530625,0.000259199,0.015307239,localForwarding
1488,120,58,35,1545,7696,2957,10995,0.000511995,0.761866708,0.00027113,0.01594833,localForwarding
1488,119,58,34,1540,7437,2946,10630,0.000514685,0.765959239,0.000272538,0.016018831,localForwarding
1488,120,58,37,1537,7251,2942,10379,0.000514938,0.766305658,0.000272792,0.016075955,localForwarding
1486,127,59,39,1574,7595,3019,10939,0.000479722,0.713277469,0.000254312,0.015061969,localForwarding
1486,127,59,39,1594,7525,3055,10814,0.000476704,0.70870781,0.000252687,0.014968271,localForwarding
1486,126,59,38,1588,7323,3043,10527,0.000480313,0.714198978,0.00025455,0.015062657,localForwarding
1487,123,59,37,1570,7034,3006,10096,0.000494171,0.735145134,0.000261826,0.015450444,localForwarding
1487,125,59,37,1584,7162,3034,10304,0.000480132,0.714060088,0.000254434,0.015035689,localForwarding
1487,122,58,36,1583,6967,3029,10006,0.000488058,0.726087933,0.000258583,0.015248303,localForwarding
1487,122,58,36,1592,6891,3045,9893,0.000486379,0.723599347,0.000257772,0.015196497,localForwarding
1488,121,58,36,1597,6785,3056,9739,0.000490257,0.729514006,0.000259798,0.015294288,localForwarding
1487,125,59,39,1630,7681,3122,11052,0.000469307,0.697996763,0.000248786,0.014711593,localForwarding
1486,128,59,39,1650,7730,3160,11134,0.000453564,0.674266363,0.000240497,0.014262033,localForwarding
