mean_fpktl,std_fpktl,mean_bpktl,std_bpktl,mean_fiat,std_fiat,mean_biat,std_biat,fpkt_rate,fbyte_rate,bpkt_rate,bbyte_rate,class
8222,7849,62,41,9423,23976,14723,25909,0.000106219,0.873336809,6.80E-05,0.004268448,remoteForwarding
8235,7935,62,35,9434,24081,15009,26144,0.000106058,0.873453539,6.67E-05,0.004143648,remoteForwarding
168,210,203,228,20986,21561,23606,27315,5.03E-05,0.008476326,4.50E-05,0.009172539,remoteForwarding
6338,7738,101,135,11514,21357,16256,23367,8.81E-05,0.558534374,6.26E-05,0.006346024,remoteForwarding
8299,7960,63,43,11461,31996,17885,34621,8.73E-05,0.724874743,5.60E-05,0.003541664,remoteForwarding
7849,7885,69,72,18078,49373,25016,52663,5.55E-05,0.435887491,4.02E-05,0.002809976,remoteForwarding
8392,7904,61,34,12867,35815,19942,38706,7.78E-05,0.652611388,5.02E-05,0.003098349,remoteForwarding
8276,8032,62,43,15763,45488,24062,49752,6.33E-05,0.524206923,4.16E-05,0.002617757,remoteForwarding
8395,7908,61,31,13795,39357,21258,42913,7.25E-05,0.60883218,4.71E-05,0.002875699,remoteForwarding
7143,6798,72,81,22656,61017,26737,59467,4.39E-05,0.313862115,3.77E-05,0.002717103,remoteForwarding
8327,8015,61,35,16009,46586,24404,51140,6.25E-05,0.520505433,4.10E-05,0.00252439,remoteForwarding
8285,8017,61,35,16327,47043,24777,51583,6.13E-05,0.507821969,4.04E-05,0.00249181,remoteForwarding
168,210,155,199,41307,34593,30979,33944,2.56E-05,0.00430642,3.36E-05,0.005219618,remoteForwarding
7084,6925,70,77,23093,63752,27164,61122,4.31E-05,0.305585286,3.70E-05,0.002602897,remoteForwarding
8414,7879,60,28,14485,41520,22060,45259,6.91E-05,0.581060313,4.54E-05,0.002753405,remoteForwarding
8016,7665,62,44,17954,52371,24843,54697,5.57E-05,0.446723519,4.03E-05,0.002520348,remoteForwarding
8003,7662,62,46,22262,64050,29294,65448,4.49E-05,0.359076839,3.42E-05,0.002144661,remoteForwarding
8431,7873,60,27,15555,45339,23337,49392,6.43E-05,0.541785253,4.29E-05,0.002590474,remoteForwarding
8183,7823,61,36,19636,58558,27386,62047,5.09E-05,0.41663932,3.66E-05,0.002238231,remoteForwarding
8196,7878,60,33,20462,60770,28621,64648,4.89E-05,0.400842184,3.50E-05,0.002129848,remoteForwarding
8191,7843,61,37,21469,63009,29585,65946,4.66E-05,0.38188482,3.38E-05,0.002074139,remoteForwarding
8442,7880,60,26,16234,47579,24171,51544,6.16E-05,0.52014806,4.14E-05,0.002493733,remoteForwarding
168,210,155,199,41640,34850,31228,34625,2.53E-05,0.004271988,3.34E-05,0.005177884,remoteForwarding
8263,7873,60,32,20461,60645,28735,64121,4.89E-05,0.40409981,3.48E-05,0.002111921,remoteForwarding
8442,7894,60,25,16504,48630,24590,52720,6.06E-05,0.511652141,4.07E-05,0.00244668,remoteForwarding
7852,7421,67,65,23410,62723,29554,63313,4.28E-05,0.336087768,3.40E-05,0.002283586,remoteForwarding
8307,7920,60,30,20805,61607,29353,65455,4.80E-05,0.399112049,3.41E-05,0.002055722,remoteForwarding
8431,7881,59,24,17028,50368,25115,54259,5.87E-05,0.495255236,3.98E-05,0.002388938,remoteForwarding
8208,7765,62,44,22711,64569,30350,67371,4.41E-05,0.361932768,3.30E-05,0.002059854,remoteForwarding
8324,7936,60,28,21067,62494,29642,66289,4.75E-05,0.395303068,3.38E-05,0.002026599,remoteForwarding
8436,7878,59,23,17470,51659,25648,55611,5.72E-05,0.482977322,3.90E-05,0.002335678,remoteForwarding
8291,7790,61,36,22524,64952,30581,68738,4.44E-05,0.36809799,3.27E-05,0.00199982,remoteForwarding
