mean_fpktl,std_fpktl,mean_bpktl,std_bpktl,mean_fiat,std_fiat,mean_biat,std_biat,fpkt_rate,fbyte_rate,bpkt_rate,bbyte_rate,class
1469,183,56,32,2291,19632,5484,30431,0.000436549,0.641600537,0.000182301,0.010323034,scp
166,213,186,233,57889,70559,69282,58904,1.87E-05,0.003123758,1.58E-05,0.002955335,scp
1475,162,55,21,2409,16084,5448,24792,0.000415012,0.612360267,0.000183314,0.010090388,scp
1483,145,55,33,5765,22622,11249,29324,0.000173546,0.257474435,8.90E-05,0.004975152,scp
1449,253,61,60,14602,56551,27338,76478,6.86E-05,0.099479753,3.61E-05,0.002225322,scp
1475,162,54,18,2612,16223,5825,25142,0.000382795,0.564751869,0.000171701,0.009412567,scp
1489,113,54,24,5706,21727,11108,29126,0.000175279,0.261104625,9.00E-05,0.004932771,scp
1479,162,56,35,11130,48064,21222,65981,8.99E-05,0.133009063,4.68E-05,0.002634789,scp
124,157,153,199,130517,155570,116046,156608,8.17E-06,0.001016464,8.17E-06,0.001255001,scp
1493,91,54,20,5436,18900,10548,25343,0.000183597,0.274172051,9.48E-05,0.005164427,scp
1486,132,55,27,10088,44678,19337,61800,9.92E-05,0.147407819,5.15E-05,0.002847372,scp
1470,184,56,29,4166,17602,9251,25969,0.000240068,0.352971235,0.000107772,0.006035978,scp
1494,82,54,18,5861,18620,11376,24822,0.000170638,0.255033872,8.79E-05,0.004775227,scp
1488,122,54,24,10416,44341,19972,61625,9.60E-05,0.142950267,4.99E-05,0.002738919,scp
1494,86,54,17,5680,17169,11019,22804,0.000176066,0.263071885,9.08E-05,0.004920105,scp
1474,169,55,20,2917,12015,6556,17743,0.000342784,0.505478198,0.000152263,0.008380262,scp
1490,110,54,21,9891,42514,19013,59150,0.000101117,0.150754914,5.25E-05,0.002864254,scp
157,192,162,187,53944,36977,49155,43020,1.98E-05,0.003111815,1.85E-05,0.003005534,scp
1476,162,54,17,2656,10957,6030,16362,0.000376155,0.555316342,0.000165631,0.009069899,scp
1491,106,54,19,9390,40919,18051,57043,0.000106504,0.158864448,5.52E-05,0.003004565,scp
1466,197,55,28,3643,19813,6836,26037,0.000155293,0.227744331,8.05E-05,0.004487783,scp
1476,161,54,16,2824,11004,6372,16605,0.000353866,0.522539454,0.000156771,0.008566639,scp
1467,208,58,47,11513,25777,22229,32857,8.66E-05,0.127040801,4.48E-05,0.002622952,scp
1491,104,54,18,9831,42059,18858,58595,0.000101729,0.151771214,5.29E-05,0.002870247,scp
1481,137,54,18,3205,14419,6101,19523,0.000240796,0.356788995,0.000125145,0.006799435,scp
1476,162,54,15,2950,10855,6619,16360,0.00033894,0.500532908,0.000150899,0.008233412,scp
1483,147,55,32,10373,23398,20042,29776,9.64E-05,0.143120234,4.98E-05,0.002778926,scp
1492,100,54,17,10219,42764,19596,59924,9.79E-05,0.146058997,5.09E-05,0.002759911,scp
1484,124,54,15,3153,13302,6019,17654,0.000268065,0.397890402,0.000139489,0.007539431,scp
1476,161,54,14,3043,10869,6826,16459,0.000328148,0.484627799,0.000146401,0.007980358,scp
1488,124,55,26,10058,21684,19431,27456,9.94E-05,0.148010107,5.14E-05,0.002829302,scp
1492,99,54,17,10549,43702,20231,61335,9.47E-05,0.141419503,4.94E-05,0.002674706,scp
1485,115,53,13,3123,12692,5990,16975,0.000282718,0.420104469,0.000146461,0.007898956,scp
1491,109,54,16,10898,44609,20840,62605,9.18E-05,0.136850296,4.79E-05,0.002597043,scp
1477,161,54,14,3117,10882,6972,16497,0.000320569,0.4734864,0.000143354,0.007807617,scp
1490,111,54,23,9876,21503,19107,27266,0.000101191,0.150865787,5.23E-05,0.002859064,scp
1486,111,53,12,3103,12309,5963,16696,0.000291898,0.433958779,0.000151188,0.008143845,scp
1477,161,54,13,3136,10689,7001,16219,0.000318619,0.470636686,0.000142764,0.007770096,scp
1492,104,54,20,9586,20840,18611,26534,0.000104235,0.155530053,5.37E-05,0.002923166,scp
1487,108,53,12,3049,11884,5860,16090,0.000302097,0.449251859,0.000156625,0.008429113,scp
1477,161,54,13,3172,10641,7065,16078,0.000315204,0.465617418,0.000141431,0.007693914,scp
1493,96,54,19,9524,20704,18462,26305,0.000105006,0.156799201,5.41E-05,0.002938522,scp
1447,261,62,62,20521,63193,37897,85492,4.88E-05,0.070589644,2.58E-05,0.001601344,scp
1487,105,53,11,3042,11708,5852,15875,0.000306303,0.455641537,0.000158929,0.008548099,scp
1477,161,54,13,3209,10627,7145,16068,0.00031157,0.460235222,0.000139895,0.007607133,scp
1494,89,54,18,9517,20462,18464,25989,0.000105084,0.157018144,5.41E-05,0.00293381,scp
1473,190,57,39,16365,55123,30885,76042,6.09E-05,0.089790086,3.20E-05,0.001824767,scp
1487,102,53,11,3053,11709,5867,15933,0.000308048,0.458341386,0.000160001,0.008602554,scp
1477,161,54,13,3244,10611,7208,16052,0.000308222,0.455280703,0.000138676,0.007537597,scp
1494,83,54,17,9523,20484,18473,26016,0.000104958,0.156904903,5.41E-05,0.002929146,scp
1480,164,55,32,15410,53154,29156,74232,6.49E-05,0.096003013,3.40E-05,0.001897515,scp
1488,100,53,11,3067,11702,5893,15921,0.000308788,0.459545377,0.000160385,0.008620467,scp
