mean_fpktl,std_fpktl,mean_bpktl,std_bpktl,mean_fiat,std_fiat,mean_biat,std_biat,fpkt_rate,fbyte_rate,bpkt_rate,bbyte_rate,class
1450,245,64,54,7688,32157,13943,47655,0.000130256,0.188953722,7.17E-05,0.004649501,sftp
140,180,162,187,46407,36547,54013,56409,2.27E-05,0.00320108,1.80E-05,0.002911379,sftp
1485,128,59,30,2130,8879,3930,11290,0.000469475,0.697543327,0.000254523,0.015253503,sftp
1479,157,60,35,7658,34864,13954,48905,0.000130631,0.193269596,7.17E-05,0.004358674,sftp
121,169,168,228,122270,190041,122482,209146,2.71E-06,0.00032841,2.33E-06,0.00039258,sftp
1442,253,60,38,4512,23709,8105,33003,0.000169493,0.244482567,9.28E-05,0.005624771,sftp
1488,111,59,27,2918,13047,5399,17562,0.000342715,0.510156913,0.000185235,0.011021555,sftp
1484,134,60,31,7840,35295,14393,49471,0.000127577,0.189406952,6.94E-05,0.004170009,sftp
127,156,132,159,167136,220154,147087,201184,2.50E-06,0.000317934,2.50E-06,0.000330517,sftp
1451,231,59,34,3585,18970,6576,26363,0.000241079,0.34986588,0.000130385,0.007778906,sftp
1490,101,59,25,3334,13890,6167,19045,0.000299954,0.447055344,0.000162167,0.009615135,sftp
121,151,126,155,162175,216682,141284,198805,1.26E-06,0.000153751,1.26E-06,0.000159651,sftp
1490,106,59,27,6844,32153,12578,45548,0.000146131,0.21778743,7.95E-05,0.004737608,sftp
1442,253,60,33,3394,16941,6289,22731,0.00026651,0.384377938,0.000143144,0.008677033,sftp
1480,151,60,25,3467,14227,6365,18942,0.000288447,0.42714087,0.000157115,0.009450592,sftp
1492,95,59,26,6985,32634,12849,46135,0.000143174,0.213663649,7.78E-05,0.004624939,sftp
1447,241,60,32,3086,15265,5804,20121,0.000299784,0.43395452,0.000159028,0.009558072,sftp
1484,138,59,24,3622,13804,6649,18451,0.00027604,0.409681619,0.000150412,0.009010814,sftp
1493,86,59,25,7114,33244,13110,46899,0.000140476,0.209814796,7.63E-05,0.004525091,sftp
1450,233,59,32,2932,14431,5559,18693,0.000320665,0.465232853,0.000168519,0.010088086,sftp
1486,127,59,23,3712,13424,6800,18077,0.0002694,0.400477035,0.000147035,0.008779848,sftp
147,162,112,124,83285,60020,55235,56405,8.92E-06,0.00131446,1.29E-05,0.001452507,sftp
1491,102,59,25,7343,34163,13483,47989,0.000136187,0.203119829,7.42E-05,0.004406975,sftp
1452,228,59,32,2821,13851,5380,17587,0.000336547,0.488931222,0.000175931,0.010502966,sftp
1488,118,59,23,3764,12959,6904,17481,0.000265664,0.395406154,0.000144852,0.008630718,sftp
1479,161,60,26,8167,36468,14878,51249,0.000122443,0.181101892,6.72E-05,0.004055813,sftp
1454,224,59,31,2716,13427,5184,16770,0.000351962,0.511843385,0.000184092,0.010973881,sftp
1490,109,59,23,3701,12449,6785,16795,0.00027015,0.402523864,0.000147386,0.008764286,sftp
