mean_fpktl,std_fpktl,mean_bpktl,std_bpktl,mean_fiat,std_fiat,mean_biat,std_biat,fpkt_rate,fbyte_rate,bpkt_rate,bbyte_rate,class
152,190,144,179,82822,149643,63432,133623,1.26E-05,0.001918197,1.63E-05,0.002354437,shell
152,199,183,203,31637,42190,36832,53638,3.31E-05,0.005054276,2.86E-05,0.005233388,shell
182,221,170,196,49022,71467,48934,89485,2.14E-05,0.003910469,2.14E-05,0.003652423,shell
152,190,133,160,42108,80378,30213,69471,2.48E-05,0.00378942,3.41E-05,0.004540076,shell
163,206,175,205,26585,29355,29632,34836,3.96E-05,0.006473671,3.56E-05,0.006242044,shell
154,198,164,192,45424,72412,47614,109602,2.31E-05,0.003553798,2.20E-05,0.003619842,shell
141,167,143,162,60576,148444,56383,140507,5.79E-06,0.000817032,5.79E-06,0.000833363,shell
169,210,182,210,24006,27445,26914,28969,4.40E-05,0.007447074,3.93E-05,0.007176314,shell
162,196,131,165,27336,48769,18806,41982,1.01E-05,0.001630125,1.42E-05,0.001867376,shell
198,229,201,226,34551,30234,31437,33307,3.10E-05,0.006156429,2.89E-05,0.005823593,shell
163,206,175,205,46305,88527,49674,103097,2.27E-05,0.003716754,2.05E-05,0.003583769,shell
163,206,175,205,23733,28626,26445,29864,4.44E-05,0.007251519,3.99E-05,0.006992061,shell
162,196,131,165,53664,116317,37514,99460,1.95E-05,0.003164276,2.75E-05,0.003624809,shell
137,164,192,283,60576,148444,56383,140507,7.98E-07,0.00010937,7.98E-07,0.000153686,shell
158,202,176,198,42987,93690,47678,107651,2.44E-05,0.003863954,2.21E-05,0.003895359,shell
163,206,168,201,37508,63873,39502,50101,2.81E-05,0.00458845,2.67E-05,0.004497242,shell
169,210,185,210,21237,28250,23815,29057,4.97E-05,0.008418156,4.45E-05,0.008237655,shell
162,196,131,165,60489,119002,42295,101734,1.73E-05,0.002807257,2.44E-05,0.003215829,shell
171,234,163,245,61136,119983,52416,110558,1.90E-05,0.003262944,2.17E-05,0.003542547,shell
130,159,213,284,60576,148444,56383,140507,6.43E-07,8.39E-05,6.43E-07,0.000137341,shell
157,193,199,314,59584,130022,42237,111061,1.75E-05,0.002760014,2.44E-05,0.004864734,shell
189,224,157,195,58355,70437,55280,93138,4.21E-06,0.000798756,4.42E-06,0.000695915,shell
159,202,171,201,46650,64800,51753,97024,2.25E-05,0.003584099,2.04E-05,0.003486565,shell
