mean_fpktl,std_fpktl,mean_bpktl,std_bpktl,mean_fiat,std_fiat,mean_biat,std_biat,fpkt_rate,fbyte_rate,bpkt_rate,bbyte_rate,class
146,178,157,172,65529,92929,79573,102164,6.00E-06,0.00087654,5.03E-06,0.000792756,x11
304,437,160,189,67144,185064,84342,203402,9.52E-06,0.002897407,7.76E-06,0.00124619,x11
326,463,171,230,56891,164385,75424,188161,7.81E-06,0.002547984,6.07E-06,0.001043292,x11
216,228,187,207,67670,108671,54481,95381,1.58E-05,0.003410636,1.67E-05,0.003133805,x11
321,464,215,326,53208,160239,66748,175804,7.86E-06,0.002526067,6.46E-06,0.001390407,x11
257,394,153,180,87159,203886,104886,234288,7.61E-06,0.001955939,6.28E-06,0.000966367,x11
309,449,224,337,53974,159776,65314,171359,7.02E-06,0.002173728,5.90E-06,0.001327072,x11
214,354,143,163,105867,214057,131978,268643,4.89E-06,0.001048328,3.86E-06,0.000551531,x11
254,406,143,151,91223,181550,116150,234881,6.10E-06,0.001552538,4.60E-06,0.000659068,x11
309,448,224,337,53974,159776,65314,171359,4.55E-06,0.001407009,3.81E-06,0.000857004,x11
232,381,135,143,112165,207370,144559,264771,5.39E-06,0.00125243,3.98E-06,0.000540187,x11
307,446,223,335,53636,159264,65447,171007,4.16E-06,0.001276697,3.50E-06,0.000780925,x11
258,413,153,200,103474,200076,137202,263808,6.05E-06,0.001563738,4.45E-06,0.000681166,x11
304,443,222,334,53109,158513,65207,170686,3.63E-06,0.001106927,3.04E-06,0.000674473,x11
272,425,195,299,92897,189539,114266,252024,6.92E-06,0.001883356,5.43E-06,0.001063187,x11
304,442,221,333,53109,158513,65207,170686,3.48E-06,0.001060686,2.92E-06,0.000645419,x11
282,427,201,315,86026,180716,110929,244838,7.34E-06,0.002070178,5.54E-06,0.001114836,x11
287,422,210,326,55014,159291,70391,174076,3.32E-06,0.00095494,2.65E-06,0.00055959,x11
276,423,199,312,87839,180945,114534,246994,6.61E-06,0.001827984,4.95E-06,0.000985971,x11
296,443,212,331,73646,164776,90963,219681,7.62E-06,0.0022629,5.98E-06,0.00126988,x11
271,415,428,561,45823,132057,45894,159122,1.24E-05,0.003384795,1.20E-05,0.005150665,x11
285,419,209,324,57376,165789,74100,183703,2.68E-06,0.000765219,2.14E-06,0.000448431,x11
275,417,410,543,44926,129363,44863,155700,1.25E-05,0.003457692,1.22E-05,0.004997748,x11
283,417,208,323,56900,165117,73864,183387,2.53E-06,0.000717044,2.01E-06,0.000418753,x11
261,399,384,525,44620,126760,44612,153854,1.32E-05,0.003446843,1.28E-05,0.004938899,x11
281,414,206,321,57380,165182,74982,183362,2.41E-06,0.000676077,1.90E-06,0.000392342,x11
261,399,384,525,45094,128211,45158,155243,1.21E-05,0.003163896,1.18E-05,0.004530474,x11
134,157,131,144,101362,176667,108347,183010,4.15E-06,0.000559393,3.73E-06,0.000491094,x11
