mean_fpktl,std_fpktl,mean_bpktl,std_bpktl,mean_fiat,std_fiat,mean_biat,std_biat,fpkt_rate,fbyte_rate,bpkt_rate,bbyte_rate,class
135,181,145,178,101620,116484,139346,121023,8.78E-06,0.001187308,7.03E-06,0.001020453,HTTP
77,143,1396,389,55839,94394,45642,82562,1.91E-05,0.001475664,1.67E-05,0.02333364,HTTP
316,273,503,40,159316,143385,505206,183250,2.84E-07,8.98E-05,1.46E-07,7.33E-05,HTTP
128,166,315,585,47580,54504,47666,53756,1.76E-05,0.002265608,1.76E-05,0.005563601,HTTP
151,235,966,617,59402,73291,49639,70772,5.59E-06,0.000847456,5.30E-06,0.005117106,HTTP
45,80,1112,391,282027,343070,129132,279493,9.23E-07,4.24E-05,2.03E-06,0.00225834,HTTP
53,4,1354,362,3698,28173,3555,23530,0.000270408,0.014529539,0.000279482,0.378570601,HTTP
318,272,492,79,104457,53589,178432,48037,5.42E-07,0.000172553,2.76E-07,0.000135785,HTTP
98,157,408,562,101591,90903,71071,81449,5.17E-07,5.10E-05,4.52E-07,0.000184646,HTTP
110,269,1106,398,160687,196127,75772,172720,8.31E-07,9.19E-05,1.68E-06,0.00185461,HTTP
136,247,697,651,63609,85015,71772,88246,1.35E-05,0.00184577,1.20E-05,0.008364396,HTTP
245,328,1146,550,53998,92835,31980,63497,3.92E-07,9.62E-05,4.27E-07,0.000489074,HTTP
415,439,728,656,228920,255620,252612,270839,2.73E-08,1.13E-05,2.44E-08,1.78E-05,HTTP
234,261,110,157,170486,113150,170624,113675,5.58E-06,0.001311108,5.58E-06,0.000617583,HTTP
115,152,373,633,41314,56382,26756,50847,2.90E-05,0.003364412,2.42E-05,0.009028242,HTTP
317,273,503,37,157829,140579,500976,174888,2.90E-07,9.21E-05,1.48E-07,7.47E-05,HTTP
342,576,270,371,3511,2797,3191,3674,0.000379759,0.130162347,0.000284819,0.076996107,HTTP
135,199,114,119,6815,9362,2609,342,1.93E-08,2.61E-06,1.29E-08,1.48E-06,HTTP
193,198,1148,541,24327,31901,15411,28284,1.70E-06,0.000328346,2.14E-06,0.002459751,HTTP
249,315,1197,471,102823,154800,89457,194202,4.16E-07,0.000103789,3.87E-07,0.000463566,HTTP
326,276,482,102,118627,117973,395210,323045,3.42E-07,0.00011167,1.74E-07,8.41E-05,HTTP
251,330,1135,554,48498,74451,36385,73578,3.73E-07,9.39E-05,3.95E-07,0.000448239,HTTP
89,118,328,571,151691,132113,105444,145974,9.72E-08,8.73E-06,6.48E-08,2.13E-05,HTTP
98,200,1310,472,1603,1116,1618,694,0.000658237,0.064853629,0.000623593,0.817391304,HTTP
152,176,1238,462,115127,146960,98495,155047,4.61E-07,7.05E-05,4.48E-07,0.000554613,HTTP
468,465,321,341,155846,142062,81000,179097,9.94E-08,4.66E-05,7.80E-08,2.50E-05,HTTP
269,428,533,826,48047,81211,71308,95429,2.78E-05,0.007464809,2.08E-05,0.011093151,HTTP
327,273,481,104,115096,79339,259783,138369,2.31E-07,7.58E-05,1.18E-07,5.70E-05,HTTP
185,256,1060,579,79667,104075,63213,99874,1.20E-06,0.000222233,1.33E-06,0.001406215,HTTP
325,273,502,43,137824,120554,523342,245996,2.67E-07,8.70E-05,1.32E-07,6.66E-05,HTTP
168,331,416,570,80807,73482,62967,71932,1.32E-06,0.000222573,1.13E-06,0.000471364,HTTP
121,180,737,730,69413,77161,81761,83029,1.17E-05,0.00142536,1.17E-05,0.008650983,HTTP
316,272,502,46,161556,146349,513853,202709,3.02E-07,9.59E-05,1.54E-07,7.72E-05,HTTP
256,430,865,683,188583,315517,193926,392565,5.89E-06,0.001513621,5.30E-06,0.004589178,HTTP
45,6,79,67,77053,108775,95297,121676,9.24E-07,4.16E-05,9.24E-07,7.30E-05,HTTP
323,272,497,63,120815,51527,216636,84001,5.10E-07,0.000165111,2.61E-07,0.000129757,HTTP
167,305,1198,548,38452,52271,36793,51977,3.09E-07,5.17E-05,2.68E-07,0.000321602,HTTP
59,89,1211,308,32435,93072,19068,70856,3.23E-05,0.001917337,5.29E-05,0.064017923,HTTP
169,186,1168,526,75781,144226,66480,145720,3.30E-07,5.62E-05,3.09E-07,0.000361303,HTTP
373,507,789,601,152788,199532,102216,170540,9.19E-08,3.43E-05,8.99E-08,7.10E-05,HTTP
323,273,500,51,154032,137784,523342,245996,2.63E-07,8.51E-05,1.30E-07,6.54E-05,HTTP
90,126,1265,526,2236,1946,2297,1641,0.000473423,0.043002551,0.000447121,0.5660293,HTTP
43,63,1144,363,187341,289032,94092,225735,8.73E-07,3.83E-05,1.98E-06,0.002268887,HTTP
115,152,314,582,38739,52474,38520,52056,2.09E-05,0.002417585,2.09E-05,0.006560525,HTTP
145,203,1199,438,36756,78493,35430,90120,4.17E-06,0.000608344,4.21E-06,0.005055086,HTTP
337,481,831,656,133530,183591,105906,163848,5.82E-07,0.00019638,5.59E-07,0.000465104,HTTP
187,262,982,560,52130,76124,46614,91083,3.18E-06,0.00059653,3.26E-06,0.003202231,HTTP
324,273,501,48,146430,130726,523342,245996,2.58E-07,8.37E-05,1.28E-07,6.44E-05,HTTP
322,272,499,55,162216,145496,523342,245996,2.80E-07,9.00E-05,1.39E-07,6.93E-05,HTTP
483,448,217,165,92677,163936,53513,181498,5.36E-08,2.59E-05,4.72E-08,1.03E-05,HTTP
388,448,228,175,122236,61177,49727,81671,3.91E-07,0.000151816,2.73E-07,6.25E-05,HTTP
174,268,614,774,98140,111950,95633,131751,1.27E-05,0.00221621,7.64E-06,0.004692252,HTTP
247,480,444,582,40256,55046,31178,50675,2.79E-05,0.006911927,2.48E-05,0.01105101,HTTP
418,542,1090,458,30004,44726,58631,66245,2.33E-07,9.75E-05,4.44E-07,0.000484595,HTTP
76,49,109,123,118481,134437,119029,134477,7.08E-06,0.00053955,7.08E-06,0.000771797,HTTP
319,467,890,633,129253,178558,103565,155276,1.15E-07,3.68E-05,1.15E-07,0.000102055,HTTP
323,273,495,71,114077,47806,194611,61721,5.17E-07,0.000167487,2.66E-07,0.000131616,HTTP
472,445,215,165,78227,135229,38605,147387,4.81E-08,2.28E-05,4.29E-08,9.27E-06,HTTP
231,377,766,705,79247,113518,51955,87264,8.47E-08,1.96E-05,7.97E-08,6.11E-05,HTTP
115,152,299,588,50321,66486,48324,66097,1.58E-05,0.001827663,1.58E-05,0.004730886,HTTP
122,163,178,277,36183,49125,45125,45594,2.27E-05,0.002783411,1.89E-05,0.00336502,HTTP
194,205,1196,495,41468,93585,34758,107271,2.28E-07,4.43E-05,2.27E-07,0.000271655,HTTP
115,152,319,581,38549,52019,38485,51790,2.10E-05,0.002432571,2.10E-05,0.006702694,HTTP
119,208,817,705,20347,13473,23619,11127,4.76E-05,0.005706024,4.16E-05,0.034039793,HTTP
80,59,178,248,112521,97308,85068,117050,3.25E-07,2.62E-05,2.60E-07,4.65E-05,HTTP
43,6,1297,52,48005,70857,29084,54709,2.08E-05,0.000912243,3.44E-05,0.044617281,HTTP
134,199,98,108,74650,88163,109471,95062,1.11E-05,0.001488661,8.89E-06,0.000870978,HTTP
128,166,414,719,60647,69908,42907,73110,2.06E-05,0.002650574,1.65E-05,0.006830483,HTTP
115,152,297,588,59393,80218,59792,81324,1.34E-05,0.001548422,1.34E-05,0.003981339,HTTP
128,166,319,594,76554,88187,76534,87754,1.08E-05,0.001389519,1.08E-05,0.003455429,HTTP
131,234,416,570,104433,96838,96697,109836,1.31E-06,0.000172377,1.12E-06,0.000466707,HTTP
112,180,781,657,28922,41395,32458,42936,2.91E-05,0.003272499,2.62E-05,0.020469844,HTTP
145,220,179,280,41819,56662,52310,59850,1.92E-05,0.002799301,1.60E-05,0.002869684,HTTP
77,57,98,99,170487,165864,228766,201417,5.32E-06,0.000409774,4.43E-06,0.000436383,HTTP
115,152,301,587,38365,51400,38406,51489,2.10E-05,0.002437382,2.10E-05,0.006337193,HTTP
192,204,1202,490,41218,94709,34532,108219,2.28E-07,4.38E-05,2.27E-07,0.000272817,HTTP
128,166,339,639,65207,74080,61916,70827,1.32E-05,0.001701688,1.32E-05,0.004496374,HTTP
202,318,925,622,53555,100175,40343,105854,1.59E-07,3.23E-05,1.45E-07,0.000133968,HTTP
130,161,1014,656,99402,103185,67129,97420,1.08E-05,0.001409853,1.37E-05,0.013844157,HTTP
