mean_fpktl,std_fpktl,mean_bpktl,std_bpktl,mean_fiat,std_fiat,mean_biat,std_biat,fpkt_rate,fbyte_rate,bpkt_rate,bbyte_rate,class
1402,198,41,29,160984,263238,238036,296849,4.94E-06,0.006924243,3.38E-06,0.000141676,lime
58,51,1485,83,176402,201766,111323,181210,5.67E-06,0.000328959,8.99E-06,0.01334809,lime
47,41,1480,148,143236,94478,84285,104990,7.00E-06,0.000329542,1.19E-05,0.017594652,lime
1401,221,42,36,110390,225335,193823,291086,4.19E-06,0.005868557,2.51E-06,0.000105711,lime
1401,201,41,24,73621,117378,119625,141264,1.19E-05,0.016711165,7.38E-06,0.000307612,lime
543,62,52,22,110925,141686,174766,249080,6.37E-06,0.003461287,3.97E-06,0.000206834,lime
546,47,51,10,190720,226335,440433,465857,3.82E-06,0.002086525,1.68E-06,8.62E-05,lime
1401,201,41,23,76508,121983,121135,145035,1.14E-05,0.015969601,7.24E-06,0.000301671,lime
352,244,245,243,24043,59158,24068,58630,1.69E-05,0.005941241,1.68E-05,0.004139148,lime
52,23,541,67,22714,35727,22573,34461,1.89E-05,0.000994478,1.89E-05,0.010246981,lime
51,16,548,33,62763,73905,62220,61976,1.58E-05,0.000817259,1.60E-05,0.008749375,lime
44,16,1489,56,107123,120136,73042,110061,8.79E-06,0.000388743,1.29E-05,0.019177935,lime
64,78,524,109,79038,116996,74788,110416,1.27E-05,0.000823557,1.26E-05,0.006598921,lime
367,329,43,31,433269,157983,433334,157350,2.27E-06,0.000835481,2.27E-06,9.84E-05,lime
1386,263,42,33,72434,165379,98771,198400,3.02E-06,0.004191977,2.28E-06,9.78E-05,lime
51,17,549,25,196663,272400,111148,149599,4.33E-06,0.000223788,7.70E-06,0.004232378,lime
51,16,549,27,119445,221135,88327,149071,7.11E-06,0.000367296,9.77E-06,0.005366981,lime
549,24,51,17,54918,93451,75859,227072,1.68E-05,0.009262402,1.21E-05,0.000627026,lime
1396,138,46,85,470511,336383,604150,344929,1.76E-06,0.002463717,1.38E-06,6.38E-05,lime
181,227,338,506,217781,187062,181484,150299,5.51E-06,0.000999153,6.43E-06,0.002172791,lime
1397,133,43,58,242844,323500,287122,340362,1.16E-06,0.001624719,1.05E-06,4.60E-05,lime
64,62,126,178,407436,471657,330452,292557,8.34E-07,5.37E-05,7.96E-07,0.000100984,lime
541,67,52,21,33622,78597,33114,135600,1.60E-05,0.008646669,1.60E-05,0.000836764,lime
1400,222,42,49,117166,227591,211203,294394,4.85E-06,0.006800275,2.80E-06,0.000120253,lime
1360,221,44,48,123889,187715,162425,202192,6.91E-06,0.009397013,5.29E-06,0.000234018,lime
550,12,51,15,42570,41713,160552,164199,2.32E-05,0.012752864,6.13E-06,0.000317342,lime
52,29,547,41,103119,105941,102572,105112,9.48E-06,0.000501812,9.47E-06,0.005181946,lime
51,19,547,40,63833,115588,63869,116772,1.34E-05,0.00069468,1.34E-05,0.007326917,lime
45,44,1481,141,198855,197252,137055,188595,3.85E-06,0.00017367,5.60E-06,0.008300039,lime
51,19,548,37,88872,132747,89637,81857,9.53E-06,0.000494542,9.52E-06,0.005218358,lime
542,62,54,36,92548,129566,96427,165389,1.04E-05,0.005641773,9.82E-06,0.000530494,lime
1391,158,42,23,210413,298981,254003,328185,1.31E-06,0.001827206,1.15E-06,4.84E-05,lime
52,21,547,42,164462,222288,157139,189894,5.24E-06,0.000272927,5.52E-06,0.003018496,lime
548,31,51,14,159627,207999,369449,424341,5.25E-06,0.002879919,2.29E-06,0.000118408,lime
56,50,513,131,139061,94052,136320,85319,3.97E-06,0.000225074,3.96E-06,0.002033193,lime
51,16,548,32,69887,97726,68218,66620,1.39E-05,0.000715997,1.43E-05,0.00783196,lime
1401,201,41,26,116978,211621,203443,264333,6.23E-06,0.008731801,3.65E-06,0.00015095,lime
45,47,1456,65,198695,193854,119696,178475,4.91E-06,0.000224241,8.19E-06,0.011926964,lime
44,24,1486,103,116839,103645,67325,94995,2.14E-06,9.61E-05,3.67E-06,0.005458043,lime
530,97,60,64,39834,79352,38436,91597,2.52E-05,0.013361096,2.46E-05,0.001480137,lime
51,16,549,29,104036,200395,84815,147641,8.13E-06,0.000419924,1.01E-05,0.005551927,lime
539,75,52,23,112038,133606,142545,204384,5.68E-06,0.003062765,4.33E-06,0.000226081,lime
549,30,51,13,161927,120951,481514,442377,4.93E-06,0.002705862,1.67E-06,8.61E-05,lime
45,28,1442,142,245499,201300,171023,204622,3.33E-06,0.000150974,4.96E-06,0.007157361,lime
57,42,1485,80,227755,220423,163461,212351,4.29E-06,0.0002462,6.02E-06,0.008945437,lime
51,18,549,26,134182,245888,96769,156746,5.71E-06,0.000295634,8.09E-06,0.004448395,lime
51,20,548,37,117725,104786,117397,91797,7.76E-06,0.000402669,7.76E-06,0.004253985,lime
