mean_fpktl,std_fpktl,mean_bpktl,std_bpktl,mean_fiat,std_fiat,mean_biat,std_biat,fpkt_rate,fbyte_rate,bpkt_rate,bbyte_rate,class
1482,143,60,52,1724,7858,3267,10676,0.000278007,0.412187408,0.00014794,0.008906282,localForwarding
1493,87,57,30,9170,13663,17552,15890,0.000107914,0.161175297,5.64E-05,0.003267459,localForwarding
1494,83,57,27,9154,13200,17516,15118,0.000108481,0.162080308,5.67E-05,0.003272151,localForwarding
1492,92,58,31,7014,12044,13376,14756,0.000140175,0.209223597,7.36E-05,0.004267539,localForwarding
1483,143,61,63,5054,10488,9626,13417,0.000170591,0.253091306,9.01E-05,0.005567854,localForwarding
1494,79,57,25,1343,3277,2549,4084,0.000709989,1.060949174,0.000374895,0.021571233,localForwarding
1495,74,57,24,2466,5217,4681,6247,0.000394327,0.589549326,0.000207996,0.011963545,localForwarding
1487,123,60,51,8490,14346,16202,17416,0.000104886,0.156044107,5.50E-05,0.003306961,localForwarding
1487,124,59,38,1877,6595,3587,9469,0.000409243,0.608738137,0.000216877,0.012833037,localForwarding
1487,126,60,52,10013,17390,19130,21321,9.63E-05,0.143182289,5.05E-05,0.003037166,localForwarding
1492,98,58,36,10042,15804,19212,18773,9.77E-05,0.145838691,5.11E-05,0.002985919,localForwarding
1493,91,58,32,8791,13003,16819,15053,0.000112197,0.167517674,5.87E-05,0.00340609,localForwarding
1494,78,57,25,8075,12166,15436,14267,0.000122934,0.183729532,6.43E-05,0.003705264,localForwarding
1486,127,60,52,10004,17541,19111,21570,9.62E-05,0.143086125,5.05E-05,0.003041754,localForwarding
1492,97,58,35,8739,13480,16714,15843,0.000112491,0.167860399,5.89E-05,0.003433455,localForwarding
1480,155,62,69,4667,10696,8882,13815,0.000177137,0.262329534,9.38E-05,0.005886503,localForwarding
1487,126,60,51,10697,18854,20415,23194,8.92E-05,0.132678117,4.68E-05,0.002810298,localForwarding
1492,93,58,32,6944,12001,13241,14738,0.000141486,0.211168005,7.43E-05,0.004310171,localForwarding
1490,108,59,43,7678,13159,14636,15940,0.000124881,0.186125764,6.56E-05,0.003878998,localForwarding
1484,137,60,52,1710,8405,3260,11900,0.000253313,0.375942494,0.000134464,0.008084563,localForwarding
1492,91,58,32,8779,13040,16799,15120,0.000112279,0.167629945,5.87E-05,0.003410086,localForwarding
1494,82,57,27,9081,13285,17372,15319,0.000109274,0.163281234,5.72E-05,0.003298494,localForwarding
1487,126,59,39,1643,7491,3145,10850,0.000456601,0.678986757,0.000242079,0.014331662,localForwarding
1495,72,57,23,1321,2626,2510,3156,0.000729927,1.091441178,0.000384952,0.022114306,localForwarding
1479,159,62,70,10866,22444,20677,28253,8.62E-05,0.127634765,4.55E-05,0.002865302,localForwarding
1493,90,57,31,8448,12826,16134,14981,0.000116387,0.17378344,6.10E-05,0.00353689,localForwarding
1487,124,59,38,1903,6232,3636,8941,0.000401828,0.597751756,0.000212925,0.012597231,localForwarding
1467,196,64,79,2327,9188,4460,12877,0.00028875,0.423841075,0.000154207,0.009961345,localForwarding
1493,85,57,29,9105,13510,17413,15652,0.000108789,0.16251699,5.69E-05,0.003291407,localForwarding
1488,117,58,28,9700,15321,18515,18121,0.000101204,0.150679112,5.30E-05,0.003093081,localForwarding
1484,136,60,52,1704,8183,3247,11581,0.000257107,0.381610125,0.000136458,0.008197185,localForwarding
1492,95,58,34,9228,14666,17621,17368,0.000106766,0.159347767,5.60E-05,0.003260939,localForwarding
1487,124,59,39,1925,6027,3679,8655,0.000398435,0.592646492,0.000211131,0.012502829,localForwarding
1494,82,57,26,8876,12506,16991,14201,0.000111867,0.167155301,5.85E-05,0.003370509,localForwarding
1493,87,57,29,8834,12923,16902,14899,0.00011197,0.167234894,5.86E-05,0.00338918,localForwarding
1491,103,58,39,8655,13666,16552,16213,0.000112842,0.168276068,5.91E-05,0.003470034,localForwarding
1482,148,62,64,9119,17326,17409,21696,0.000102462,0.151893257,5.39E-05,0.003340254,localForwarding
1495,72,57,24,1324,2690,2515,3254,0.000726652,1.086498729,0.000383265,0.022024193,localForwarding
1492,96,58,37,6389,11104,12178,13800,0.000152129,0.226992839,7.99E-05,0.004673667,localForwarding
1487,125,59,39,1909,6351,3648,9120,0.000398179,0.592230647,0.000211002,0.012496899,localForwarding
1484,136,59,50,1676,6666,3193,9373,0.000253788,0.376641208,0.000134763,0.008079113,localForwarding
1484,137,60,51,1728,8788,3293,12411,0.000255969,0.3799348,0.000135852,0.008158562,localForwarding
1494,82,57,27,9105,13035,17436,14909,0.000109034,0.162920167,5.70E-05,0.003287292,localForwarding
1484,137,60,51,1726,8667,3290,12227,0.000259209,0.384726538,0.000137565,0.008257779,localForwarding
1493,84,57,27,9163,13323,17534,15307,0.000108313,0.161818083,5.66E-05,0.003268989,localForwarding
1485,133,60,55,9973,18109,19045,22476,9.60E-05,0.142688655,5.04E-05,0.003057926,localForwarding
1487,123,60,51,7258,12701,13841,15955,0.000129876,0.193206141,6.83E-05,0.004103479,localForwarding
1481,153,62,66,9058,17468,17296,21945,0.000102656,0.152080023,5.40E-05,0.003363929,localForwarding
1491,101,58,37,9487,15584,18124,18664,0.000103646,0.154593952,5.43E-05,0.00317716,localForwarding
1486,130,59,36,7996,14051,15207,17266,0.000125088,0.185944053,6.56E-05,0.003890234,localForwarding
1494,76,57,24,1905,4012,3616,4953,0.000507438,0.758493643,0.000267747,0.015392374,localForwarding
1492,94,58,33,9353,14728,17874,17406,0.000105445,0.157387298,5.52E-05,0.003211806,localForwarding
1492,93,58,35,9082,13300,17371,15423,0.000108155,0.161447762,5.66E-05,0.003299971,localForwarding
1483,137,59,46,1705,7096,3242,9852,0.000321934,0.477694015,0.000171066,0.010197382,localForwarding
1491,103,58,40,7908,13025,15086,15603,0.000122279,0.182341718,6.42E-05,0.003771814,localForwarding
1492,95,58,36,4682,9672,8910,12445,0.000205151,0.306146452,0.000108017,0.006305207,localForwarding
1484,141,61,59,10697,21103,20343,26268,8.93E-05,0.132473151,4.71E-05,0.002881911,localForwarding
1494,81,57,26,9074,13144,17359,15100,0.000109447,0.163551628,5.72E-05,0.003300702,localForwarding
1487,124,59,38,1675,6956,3203,10036,0.000450993,0.670801582,0.000239077,0.014133632,localForwarding
1491,98,58,35,7743,12771,14768,15431,0.000126641,0.188923892,6.65E-05,0.00387487,localForwarding
1493,85,57,28,8846,12744,16930,14602,0.000111955,0.167233973,5.85E-05,0.003383193,localForwarding
1493,89,57,30,9257,14059,17697,16423,0.000106912,0.159657163,5.60E-05,0.003241221,localForwarding
1483,139,60,54,1959,6209,3719,8333,0.000421045,0.62469409,0.000223835,0.013471801,localForwarding
1495,72,57,23,2481,4989,4708,5907,0.000394666,0.590164582,0.000208156,0.01195588,localForwarding
1492,97,58,35,9775,14742,18696,17098,9.91E-05,0.147805024,5.18E-05,0.003023701,localForwarding
1490,111,59,43,9749,16860,18609,20450,0.000100174,0.14926042,5.25E-05,0.003104445,localForwarding
1484,137,60,52,1699,7962,3238,11271,0.000255882,0.379754223,0.000135813,0.0081624,localForwarding
1484,137,60,51,1703,8111,3245,11479,0.000258123,0.383101817,0.00013699,0.00822574,localForwarding
166,213,186,233,112651,88079,124746,56527,9.62E-06,0.001605242,8.14E-06,0.001518692,localForwarding
1495,72,57,23,2479,5002,4704,5929,0.000394868,0.590460772,0.000208248,0.011961954,localForwarding
1484,137,60,52,1699,7962,3238,11271,0.000256794,0.381110563,0.000136296,0.008189438,localForwarding
1480,156,62,68,7625,15151,14497,19124,0.000104145,0.154209457,5.49E-05,0.003438825,localForwarding
1492,92,58,33,9197,14406,17571,16990,0.000107133,0.15993573,5.61E-05,0.003264503,localForwarding
1490,103,58,37,5876,11568,11180,14624,0.000164845,0.245746536,8.68E-05,0.005073138,localForwarding
1490,110,59,42,9490,15373,18127,18331,9.99E-05,0.148878468,5.24E-05,0.003091303,localForwarding
1483,138,59,50,1707,6965,3246,9656,0.000236744,0.351247041,0.000125803,0.007542766,localForwarding
1495,73,57,25,2447,4779,4645,5726,0.000398937,0.596482688,0.000210378,0.012102144,localForwarding
1491,103,58,40,8649,13702,16538,16273,0.000112862,0.168295617,5.91E-05,0.003473003,localForwarding
1490,106,58,27,1507,9322,2872,13193,0.000579692,0.864049913,0.00030637,0.01780535,localForwarding
1492,92,58,32,9328,14545,17827,17132,0.000105834,0.157991757,5.54E-05,0.003219669,localForwarding
1494,83,57,28,8597,12385,16436,14184,0.000114963,0.171758843,6.02E-05,0.003475887,localForwarding
1492,95,58,33,9370,14842,17903,17570,0.000105194,0.156999637,5.51E-05,0.00320715,localForwarding
1486,130,59,38,7652,13733,14549,16215,0.000130706,0.194297246,6.85E-05,0.004094894,localForwarding
1493,84,57,28,8861,12746,16957,14603,0.000111862,0.16711398,5.85E-05,0.00337778,localForwarding
1474,180,65,82,5861,14254,11171,18903,0.000142322,0.209845029,7.54E-05,0.004902224,localForwarding
1487,124,59,50,10140,18761,19326,23104,9.54E-05,0.14187077,5.01E-05,0.003006394,localForwarding
1493,84,58,32,2258,5510,4288,6999,0.000414344,0.618960056,0.000218764,0.012704119,localForwarding
1494,81,57,26,7926,12225,15141,14466,0.000125075,0.186889591,6.55E-05,0.003776202,localForwarding
1485,132,60,56,8669,16007,16569,19947,0.00011053,0.164231106,5.80E-05,0.003525485,localForwarding
1492,97,58,35,9767,14759,18683,17132,9.91E-05,0.147838243,5.18E-05,0.00302516,localForwarding
1493,84,57,29,9134,13291,17491,15309,0.000108502,0.162089881,5.67E-05,0.003277722,localForwarding
1493,86,57,29,8527,12548,16297,14491,0.000115654,0.17275087,6.05E-05,0.003503988,localForwarding
1492,92,58,33,7411,12059,14141,14631,0.000132493,0.197792207,6.95E-05,0.004041986,localForwarding
1492,91,57,31,7102,12152,13542,14867,0.000138563,0.206842888,7.27E-05,0.004216648,localForwarding
1480,155,62,66,9524,20663,18118,26857,9.65E-05,0.142920023,5.09E-05,0.003174075,localForwarding
1489,113,59,44,9617,16471,18374,20063,0.00010126,0.150842996,5.31E-05,0.003145083,localForwarding
