mean_fpktl,std_fpktl,mean_bpktl,std_bpktl,mean_fiat,std_fiat,mean_biat,std_biat,fpkt_rate,fbyte_rate,bpkt_rate,bbyte_rate,class
8432,7840,58,17,36397,109794,47693,114468,2.75E-05,0.231683113,2.10E-05,0.001228392,remoteForwarding
8334,7847,58,17,34187,104311,45242,109199,2.93E-05,0.243810233,2.21E-05,0.001294994,remoteForwarding
8257,8083,58,17,46181,136697,57202,149526,2.17E-05,0.178818267,1.75E-05,0.00101491,remoteForwarding
8231,7975,58,17,45500,134107,55723,145786,2.20E-05,0.180924139,1.79E-05,0.001041358,remoteForwarding
8200,7981,58,18,44072,130015,53928,141157,2.27E-05,0.186084562,1.85E-05,0.001077738,remoteForwarding
8174,7915,58,22,41608,122492,50459,132463,2.40E-05,0.19649659,1.98E-05,0.001156791,remoteForwarding
8226,8161,58,23,87556,264247,109160,290557,1.08E-05,0.089114036,8.70E-06,0.000509753,remoteForwarding
8231,8128,58,20,87009,263829,108293,289934,1.09E-05,0.089479041,8.75E-06,0.00051036,remoteForwarding
8397,7747,58,18,36874,109430,47542,113095,2.71E-05,0.227740058,2.10E-05,0.00123165,remoteForwarding
8227,8074,58,19,76608,232096,94308,253273,1.31E-05,0.107408068,1.06E-05,0.000617376,remoteForwarding
8223,7958,57,17,44905,132623,54444,143552,2.23E-05,0.183124812,1.84E-05,0.00106415,remoteForwarding
8243,7979,57,17,45744,134928,56080,146767,2.19E-05,0.18021938,1.78E-05,0.001034237,remoteForwarding
8200,7981,58,18,44116,130153,53997,141332,2.27E-05,0.18591126,1.85E-05,0.0010762,remoteForwarding
8367,7882,58,19,32931,100647,43778,105186,3.04E-05,0.254078344,2.28E-05,0.001342944,remoteForwarding
8399,7967,58,19,36966,113751,49420,120176,2.71E-05,0.227233629,2.02E-05,0.001190808,remoteForwarding
8259,8088,58,16,46109,136529,57159,149404,2.17E-05,0.179128407,1.75E-05,0.001015285,remoteForwarding
8346,7811,58,17,36572,109978,47801,114544,2.73E-05,0.228203867,2.09E-05,0.001224925,remoteForwarding
7959,7887,59,35,80784,237158,97215,255581,1.20E-05,0.095721834,1.00E-05,0.0005984,remoteForwarding
8189,8163,59,27,88287,264373,109671,290082,1.07E-05,0.087945819,8.66E-06,0.00051152,remoteForwarding
8246,7984,57,16,45809,135164,56187,147074,2.18E-05,0.180031289,1.78E-05,0.001032156,remoteForwarding
8109,7990,59,34,40781,116487,49310,125652,2.45E-05,0.199027628,2.03E-05,0.001216134,remoteForwarding
8245,8074,58,17,76647,233319,94166,254543,1.30E-05,0.107587035,1.06E-05,0.000616236,remoteForwarding
8243,8022,57,17,62939,194227,76876,211381,1.59E-05,0.130982793,1.30E-05,0.000754206,remoteForwarding
8379,7947,59,24,36774,112537,48570,118049,2.72E-05,0.227846981,2.06E-05,0.001219259,remoteForwarding
8409,7790,58,17,36886,110230,47896,114330,2.71E-05,0.227984779,2.09E-05,0.001222663,remoteForwarding
8472,7896,58,19,37371,113253,49003,118242,2.68E-05,0.226714412,2.04E-05,0.001199378,remoteForwarding
148,195,159,221,46308,47914,34730,44623,2.40E-05,0.003565362,3.12E-05,0.004973752,remoteForwarding
8458,7893,59,24,37357,112488,48738,117070,2.68E-05,0.226414976,2.05E-05,0.001215272,remoteForwarding
8336,7852,58,17,34399,105108,45549,110090,2.91E-05,0.242350789,2.20E-05,0.001286127,remoteForwarding
8199,7984,57,17,44749,132129,54761,143458,2.23E-05,0.18323617,1.83E-05,0.001059099,remoteForwarding
8236,8133,58,20,86764,263530,108080,289736,1.09E-05,0.089637209,8.75E-06,0.0005101,remoteForwarding
8245,8077,58,17,76574,233081,94131,254346,1.31E-05,0.107685162,1.06E-05,0.000616561,remoteForwarding
8204,7990,58,17,44627,131719,54695,143107,2.24E-05,0.183852674,1.83E-05,0.001061042,remoteForwarding
8251,8156,58,19,87301,264882,108971,291511,1.09E-05,0.089704585,8.72E-06,0.00050808,remoteForwarding
8353,7840,58,17,35228,107247,46293,112069,2.84E-05,0.237116238,2.16E-05,0.001264659,remoteForwarding
8360,7925,58,19,31396,97880,42433,103282,3.19E-05,0.266294939,2.36E-05,0.001386762,remoteForwarding
