mean_fpktl,std_fpktl,mean_bpktl,std_bpktl,mean_fiat,std_fiat,mean_biat,std_biat,fpkt_rate,fbyte_rate,bpkt_rate,bbyte_rate,class
1488,98,53,10,3033,12449,5834,16810,0.000272606,0.405762981,0.0001415,0.007603799,scp
1497,64,53,10,9895,24872,19092,29654,0.000101062,0.151299946,5.24E-05,0.002812201,scp
1492,105,53,11,11104,45012,21239,64530,8.96E-05,0.13363743,4.68E-05,0.002519203,scp
1497,64,53,9,10715,26537,20634,31117,9.33E-05,0.139709936,4.85E-05,0.002601489,scp
1489,89,53,9,3006,10452,5798,14550,0.000327516,0.487924351,0.000169733,0.009108114,scp
1498,47,53,10,7160,18222,13913,23372,0.000139642,0.209228991,7.19E-05,0.003860157,scp
1477,163,54,10,3749,11367,8093,16949,0.00026669,0.393931392,0.000123551,0.006689616,scp
1491,110,53,10,13018,49006,24786,70061,7.65E-05,0.114048103,4.01E-05,0.002158062,scp
1477,161,54,10,3536,10843,7708,16418,0.000281488,0.415871511,0.000129113,0.006996706,scp
1498,48,53,10,7254,18312,14093,23486,0.000137842,0.206528036,7.10E-05,0.003810771,scp
1489,94,53,10,2982,11310,5751,15049,0.000319019,0.475051364,0.000165141,0.008874446,scp
1488,95,53,9,3100,12670,5962,17418,0.000295611,0.440159085,0.000153636,0.008246786,scp
1498,49,53,10,6767,17867,13152,22930,0.000147761,0.221373841,7.60E-05,0.004084409,scp
1490,87,53,9,3778,16699,7247,19574,0.000263012,0.391893384,0.000137082,0.007355157,scp
1490,82,53,9,3729,15516,7155,18344,0.000251081,0.37428007,0.000130798,0.007021924,scp
1497,58,53,9,8984,20318,17432,26039,0.000110781,0.16590498,5.71E-05,0.003065407,scp
1477,163,54,11,3595,10089,7784,15481,0.000276411,0.408259537,0.00012761,0.006919776,scp
1388,366,69,80,16866,59680,34077,77436,5.87E-05,0.081522573,2.88E-05,0.001998181,scp
1489,89,53,9,3258,12527,6269,16443,0.000285124,0.42477916,0.00014812,0.007947285,scp
1496,65,53,10,10698,27834,20601,32015,9.35E-05,0.139922795,4.85E-05,0.002607965,scp
1497,63,53,10,9475,21341,18386,27421,0.000105177,0.157462404,5.42E-05,0.002911486,scp
1477,163,54,10,3805,11650,8089,16923,0.000260479,0.384745712,0.000122481,0.00663023,scp
1491,108,53,9,13768,51529,26141,73341,7.23E-05,0.107852264,3.81E-05,0.00204659,scp
1496,67,53,10,10877,28409,20930,32369,9.19E-05,0.137602981,4.78E-05,0.002566675,scp
1488,97,53,10,3061,12598,5884,17009,0.000280736,0.417914524,0.00014585,0.007833993,scp
1489,88,53,9,3952,18263,7570,20683,0.000250028,0.372541382,0.00013052,0.007005916,scp
1491,109,53,9,13515,50592,25678,72180,7.36E-05,0.109791477,3.87E-05,0.002082201,scp
1477,162,54,10,4366,15538,9380,21122,0.000227757,0.336408616,0.000105991,0.005737948,scp
1477,162,54,10,4220,14855,9084,19661,0.00023692,0.350006703,0.000110069,0.005957732,scp
1490,85,53,10,3586,14315,6879,17332,0.000218081,0.325005077,0.000113447,0.006099696,scp
1476,163,54,13,3868,12933,8413,17871,0.000258537,0.381844361,0.000118751,0.006451209,scp
1498,51,53,9,7484,18434,14547,23817,0.00013344,0.199911691,6.86E-05,0.003684899,scp
1476,163,54,12,4417,16451,9523,23056,0.000222765,0.328824732,0.000103225,0.005600168,scp
1480,142,54,19,3823,16916,7188,21927,0.000205839,0.304750566,0.000108117,0.005889011,scp
1492,105,53,12,10815,44133,20692,63194,9.20E-05,0.13724123,4.80E-05,0.002583954,scp
1491,107,53,10,12099,47695,23098,68113,8.24E-05,0.122892214,4.31E-05,0.00232029,scp
1489,88,53,9,3958,18397,7580,20766,0.000250297,0.372938222,0.000130661,0.007014078,scp
1477,162,54,10,3569,10158,7775,15724,0.000279217,0.41246783,0.000128158,0.006943621,scp
1477,163,54,10,3843,11953,8197,17282,0.000258636,0.382050837,0.000121225,0.006562178,scp
1477,162,54,11,3395,10386,7500,15823,0.000294554,0.435118054,0.0001333,0.007232873,scp
1476,164,54,11,3810,11717,8108,16941,0.000257316,0.380021016,0.000120764,0.006549049,scp
1476,162,54,15,2950,10855,6619,16360,0.00033894,0.500532908,0.000150899,0.008233412,scp
1497,58,53,9,8757,20000,17008,25781,0.000113881,0.170543784,5.86E-05,0.003149178,scp
1490,85,53,10,3596,14399,6906,17502,0.000213682,0.31846008,0.000111231,0.005981841,scp
1489,91,53,9,3225,11965,6187,16229,0.000307512,0.458073973,0.000160195,0.008596499,scp
1498,47,53,10,7191,18252,13976,23412,0.000139031,0.208317021,7.16E-05,0.003842798,scp
1495,78,53,12,11096,27856,21367,33017,9.01E-05,0.134754333,4.68E-05,0.002518564,scp
1477,163,54,10,3738,11300,8067,16846,0.000267472,0.395090235,0.000123941,0.006710155,scp
1473,172,54,20,4839,18850,10573,27961,0.000198558,0.292516327,9.07E-05,0.004971177,scp
1491,107,53,9,13704,51486,26036,73268,7.27E-05,0.1084164,3.82E-05,0.002055306,scp
1489,91,53,9,3249,12142,6233,16463,0.000304846,0.454095364,0.000158821,0.008523762,scp
1496,69,53,10,11421,31536,21932,34728,8.76E-05,0.131037696,4.56E-05,0.002450346,scp
1488,96,53,9,3137,11308,6018,15619,0.000312058,0.464578891,0.000162588,0.008734676,scp
1489,91,53,9,3147,11505,6052,15986,0.000314087,0.46781278,0.000163286,0.008763263,scp
1490,114,55,27,7165,17401,13903,20688,0.000139602,0.208064412,7.16E-05,0.003953673,scp
1477,162,54,10,3674,11515,7965,16954,0.0002721,0.401944959,0.000125541,0.006800337,scp
1498,48,53,10,7040,18124,13676,23250,0.000142042,0.212814765,7.31E-05,0.003927068,scp
1477,161,54,10,4905,19385,10552,24521,0.000203821,0.301115789,9.48E-05,0.005138975,scp
1497,57,53,9,8560,19588,16633,25284,0.000116523,0.174508816,6.00E-05,0.00322061,scp
1490,114,53,10,13862,50923,26323,72733,7.19E-05,0.107190352,3.78E-05,0.002035303,scp
1489,93,53,9,3129,11228,6010,15614,0.000315006,0.46909625,0.000163962,0.008804082,scp
1490,86,53,9,3367,13302,6468,16771,0.000295045,0.439657984,0.000153517,0.008240826,scp
1477,161,54,10,3416,9772,7453,15128,0.000291948,0.431305016,0.000133839,0.007250101,scp
1489,93,53,9,3189,11875,6119,16141,0.000307126,0.457426909,0.000159836,0.0085841,scp
1496,67,53,10,11032,29191,21234,33043,9.06E-05,0.135666081,4.71E-05,0.002530011,scp
1492,104,53,11,11577,46626,22126,66541,8.60E-05,0.128403104,4.50E-05,0.002420387,scp
1497,63,53,9,10658,26305,20533,30958,9.38E-05,0.140465011,4.87E-05,0.002614157,scp
1476,163,54,11,3750,11944,8106,18226,0.000261497,0.386199565,0.000121043,0.006555989,scp
1477,162,54,10,3480,9924,7597,15376,0.000286592,0.423381786,0.000131253,0.007111179,scp
1497,63,53,10,9474,21303,18383,27367,0.000105198,0.157492745,5.42E-05,0.002912426,scp
1490,85,53,9,3091,11523,5961,14975,0.000316254,0.471299142,0.000163871,0.008797597,scp
1471,183,55,22,4161,13175,9091,20275,0.000226975,0.334010637,0.00010365,0.005714067,scp
1477,163,54,10,3824,11943,8256,17643,0.00026145,0.38618215,0.000121107,0.006560784,scp
