mean_fpktl,std_fpktl,mean_bpktl,std_bpktl,mean_fiat,std_fiat,mean_biat,std_biat,fpkt_rate,fbyte_rate,bpkt_rate,bbyte_rate,class
1484,139,60,25,9646,26744,17593,31094,0.000103673,0.153953987,5.68E-05,0.003417206,sftp
1491,107,59,22,15114,56981,28032,78970,6.62E-05,0.098667238,3.57E-05,0.002109731,sftp
1496,68,59,21,9729,23941,18068,26749,0.000102782,0.153816461,5.53E-05,0.003265444,sftp
1490,112,59,22,15403,57912,28562,80141,6.49E-05,0.096764405,3.50E-05,0.002074415,sftp
1454,224,59,30,5169,20475,9959,26135,0.000191935,0.279242688,9.96E-05,0.005878272,sftp
1458,224,62,28,4070,18469,8987,25536,0.000245676,0.358288448,0.000111231,0.006929892,sftp
1497,61,58,21,8390,22484,15580,25267,0.00011892,0.178027376,6.40E-05,0.0037742,sftp
1475,169,60,22,3560,13135,8051,17008,0.000280336,0.413725305,0.00012396,0.007498371,sftp
1455,221,59,30,4187,16005,8107,21785,0.000235508,0.342827365,0.000121557,0.007184932,sftp
1456,218,59,30,4170,16349,8064,22002,0.000238458,0.347364371,0.000123254,0.007276327,sftp
1456,217,59,30,4349,18199,8385,23305,0.000228536,0.332973232,0.000118523,0.006998332,sftp
1449,239,59,32,4646,17729,8925,23988,0.000186396,0.270121999,9.68E-05,0.005777348,sftp
1466,199,61,26,3866,13431,8597,19794,0.000258623,0.379353412,0.000116161,0.007156448,sftp
1451,232,59,31,4437,16937,8560,23046,0.000203413,0.295309091,0.000105382,0.006261052,sftp
1451,233,59,30,5375,22595,10335,28747,0.000182014,0.26421921,9.45E-05,0.00558744,sftp
1492,103,59,28,10067,25779,18812,28418,9.92E-05,0.147991938,5.31E-05,0.003171464,sftp
1458,215,58,30,4174,16122,8077,21749,0.000238291,0.347430182,0.000123131,0.007262589,sftp
1497,60,58,21,9679,25168,17965,27526,0.000103313,0.154688899,5.57E-05,0.003281842,sftp
1484,143,60,34,13305,50149,24474,69790,7.52E-05,0.111582637,4.06E-05,0.002467723,sftp
1494,81,59,26,7693,19926,14146,23737,0.000129995,0.194341738,7.05E-05,0.004195532,sftp
1495,79,59,21,9757,24179,18087,26901,0.00010249,0.153247552,5.53E-05,0.003266699,sftp
1441,259,60,32,6501,25626,12372,31886,0.00014956,0.215578112,7.84E-05,0.004706234,sftp
1454,224,59,30,5170,20482,9962,26148,0.000192033,0.279389443,9.96E-05,0.005879225,sftp
1497,63,58,21,9731,24074,18090,26635,0.000102758,0.153837697,5.53E-05,0.003258412,sftp
1485,139,60,25,11030,28300,20339,31978,9.07E-05,0.134641339,4.91E-05,0.002949412,sftp
1472,179,60,23,4113,15626,9186,20296,0.000242083,0.356576577,0.000108389,0.006579907,sftp
1455,220,58,30,4754,19628,9175,25000,0.000209308,0.304739006,0.000108443,0.006394809,sftp
1475,169,60,22,3522,13048,7968,17281,0.000283858,0.418868196,0.000125466,0.007597554,sftp
1497,56,58,21,9584,23688,17819,26290,0.000104331,0.156253311,5.61E-05,0.003306299,sftp
1491,105,59,22,13056,51944,24233,72512,7.66E-05,0.114242709,4.13E-05,0.002438516,sftp
1473,178,60,23,3783,14563,8421,18894,0.000264303,0.389437231,0.000118744,0.007194549,sftp
