mean_fpktl,std_fpktl,mean_bpktl,std_bpktl,mean_fiat,std_fiat,mean_biat,std_biat,fpkt_rate,fbyte_rate,bpkt_rate,bbyte_rate,class
125,175,451,466,49001,110563,49318,123038,6.64E-07,8.32E-05,6.42E-07,0.000289596,shell
69,90,572,509,17938,51612,18549,57376,4.37E-07,3.05E-05,4.30E-07,0.000245987,shell
113,144,339,399,61380,148407,51978,134075,1.95E-07,2.21E-05,2.07E-07,7.02E-05,shell
93,133,430,471,36411,61901,35214,79623,6.05E-07,5.63E-05,6.16E-07,0.000264839,shell
162,196,131,165,68546,173425,47928,146908,1.53E-05,0.002477296,2.15E-05,0.002837844,shell
124,172,420,460,48305,63032,46000,84465,6.71E-07,8.39E-05,6.93E-07,0.000291614,shell
70,92,584,511,14979,26039,14482,26164,4.16E-07,2.93E-05,4.13E-07,0.000241307,shell
107,157,408,459,41402,62468,38488,84406,6.42E-07,6.91E-05,6.68E-07,0.000272775,shell
81,115,539,504,30516,83203,29690,90704,4.59E-07,3.73E-05,4.53E-07,0.00024446,shell
72,97,650,510,30646,60485,31254,61792,3.83E-07,2.77E-05,3.79E-07,0.000246775,shell
72,87,515,449,40297,116734,36744,107980,1.31E-07,9.50E-06,1.32E-07,6.80E-05,shell
162,196,131,165,60489,119002,42295,101734,1.73E-05,0.002807257,2.44E-05,0.003215829,shell
172,202,162,187,17453,16963,13248,15417,6.17E-05,0.010639423,6.61E-05,0.010718756,shell
73,100,573,508,32165,70479,30152,76230,4.14E-07,3.06E-05,4.10E-07,0.000234784,shell
125,177,437,472,38965,66447,37297,86759,5.99E-07,7.53E-05,6.16E-07,0.000269363,shell
189,224,191,213,97962,167332,91738,146559,1.09E-05,0.002062023,1.16E-05,0.002219226,shell
159,202,294,374,59240,74306,55838,100601,1.29E-06,0.000205768,1.35E-06,0.00039761,shell
162,196,131,165,44773,92742,31294,78933,2.34E-05,0.003792604,3.30E-05,0.004344585,shell
85,109,468,440,49761,134162,42961,122030,1.42E-07,1.21E-05,1.47E-07,6.90E-05,shell
78,109,514,501,39250,81273,38296,91630,4.65E-07,3.67E-05,4.71E-07,0.000242443,shell
95,141,472,490,37359,59227,35112,79045,5.21E-07,5.00E-05,5.37E-07,0.000254178,shell
78,109,564,505,33685,75017,32282,82355,4.24E-07,3.32E-05,4.19E-07,0.00023655,shell
77,95,487,441,62274,139465,55110,136709,1.42E-07,1.10E-05,1.47E-07,7.15E-05,shell
80,113,608,515,34733,52574,33762,66534,3.75E-07,3.02E-05,3.80E-07,0.000230994,shell
77,107,629,507,32761,64337,33543,65885,4.05E-07,3.13E-05,4.01E-07,0.000252341,shell
93,121,414,427,54871,136808,51422,129434,1.89E-07,1.77E-05,1.89E-07,7.83E-05,shell
114,164,483,480,54596,94014,53048,105957,5.69E-07,6.54E-05,5.53E-07,0.000267301,shell
139,187,160,212,144755,302016,108030,268050,7.60E-06,0.001062479,9.67E-06,0.001548124,shell
79,111,546,502,20789,29168,21311,30973,4.70E-07,3.72E-05,4.64E-07,0.000253248,shell
157,193,199,314,46303,94115,32810,80652,2.26E-05,0.003551666,3.14E-05,0.00626008,shell
141,167,143,162,60576,148444,56383,140507,5.79E-06,0.000817032,5.79E-06,0.000833363,shell
162,196,131,165,75743,206838,52919,173234,1.38E-05,0.002241906,1.95E-05,0.002568195,shell
158,220,245,280,26006,32972,29445,33906,4.39E-05,0.006976259,3.85E-05,0.009431682,shell
148,185,152,206,95490,244449,68128,207391,1.15E-05,0.001708312,1.57E-05,0.002397282,shell
72,96,584,510,24787,75066,24403,81395,4.09E-07,2.95E-05,4.05E-07,0.000236972,shell
104,151,488,481,26750,35580,27782,42152,5.40E-07,5.63E-05,5.27E-07,0.000257285,shell
69,90,568,510,13864,25144,13629,25389,4.35E-07,3.03E-05,4.28E-07,0.000243123,shell
84,122,555,502,37215,80172,35658,88563,4.19E-07,3.55E-05,4.13E-07,0.000229341,shell
162,196,131,165,49362,92456,34499,79256,2.12E-05,0.003440033,2.99E-05,0.003940699,shell
162,206,190,206,51069,100127,52519,115201,2.06E-05,0.003353512,1.86E-05,0.003529742,shell
112,154,294,381,35476,67115,28717,61524,2.89E-05,0.003253878,3.54E-05,0.010440307,shell
162,196,131,165,55257,135113,38626,114640,1.90E-05,0.003073039,2.67E-05,0.003520292,shell
76,106,539,500,23496,59280,24012,65727,4.72E-07,3.62E-05,4.67E-07,0.000251454,shell
81,115,601,514,19145,28020,18521,28357,4.04E-07,3.28E-05,3.98E-07,0.000239662,shell
154,198,164,192,45424,72412,47614,109602,2.31E-05,0.003553798,2.20E-05,0.003619842,shell
162,196,131,165,38310,67286,26766,57233,2.73E-05,0.004432462,3.85E-05,0.005077568,shell
163,206,168,201,58010,89083,48184,89992,1.81E-05,0.002966807,1.72E-05,0.002907834,shell
162,196,131,165,71729,193847,50152,163697,1.46E-05,0.002367373,2.06E-05,0.002711923,shell
78,98,505,449,45865,125609,43011,118800,1.43E-07,1.12E-05,1.43E-07,7.23E-05,shell
73,100,620,513,50130,120347,44458,118854,3.74E-07,2.77E-05,3.70E-07,0.000229469,shell
115,157,305,386,44973,99270,36132,90020,2.28E-05,0.002642981,2.82E-05,0.008618234,shell
125,175,434,465,44335,61040,44236,91461,6.52E-07,8.20E-05,6.52E-07,0.000283468,shell
94,123,434,442,56287,142123,48093,128788,1.51E-07,1.43E-05,1.58E-07,6.84E-05,shell
120,171,475,491,38236,60697,36690,83715,5.45E-07,6.55E-05,5.58E-07,0.000265361,shell
167,199,136,169,58058,144806,39975,121700,1.81E-05,0.003026235,2.58E-05,0.003514531,shell
125,175,419,462,73965,149840,70369,132837,6.74E-07,8.44E-05,6.96E-07,0.000292265,shell
77,107,545,504,23751,32362,24083,35352,4.27E-07,3.30E-05,4.22E-07,0.000230587,shell
73,43,145,150,109372,195499,166248,223113,2.83E-06,0.000209083,1.91E-06,0.00027766,shell
77,107,516,496,16348,27213,16711,30391,5.03E-07,3.89E-05,4.98E-07,0.000256942,shell
112,154,294,381,46551,99886,37786,91017,2.20E-05,0.002479748,2.70E-05,0.007956455,shell
216,241,218,241,35272,38540,37930,39643,3.07E-05,0.00663871,2.84E-05,0.006182742,shell
108,156,520,495,25505,38846,26555,46267,5.61E-07,6.08E-05,5.47E-07,0.000284787,shell
169,210,182,210,26444,31131,29655,31994,3.99E-05,0.006760376,3.57E-05,0.006514583,shell
167,199,134,168,45653,82994,31389,69545,2.30E-05,0.003848542,3.29E-05,0.004416952,shell
137,164,217,295,67202,155470,56374,140749,5.48E-07,7.51E-05,5.95E-07,0.000129732,shell
72,96,587,509,18299,28028,18658,29514,4.22E-07,3.05E-05,4.18E-07,0.00024554,shell
86,124,486,488,33691,78801,30990,86114,5.29E-07,4.57E-05,5.21E-07,0.000253071,shell
172,202,162,187,17877,17848,13661,15246,6.02E-05,0.010386995,6.45E-05,0.010464446,shell
81,116,548,503,32177,77975,27662,81666,4.45E-07,3.63E-05,4.39E-07,0.000240539,shell
93,138,459,484,37642,58299,35504,77395,5.36E-07,5.03E-05,5.52E-07,0.000253782,shell
80,99,482,444,64413,141539,56811,138624,1.42E-07,1.14E-05,1.48E-07,7.13E-05,shell
118,168,493,491,57167,109689,51496,120075,5.46E-07,6.47E-05,5.29E-07,0.000260976,shell
71,93,599,513,21382,45123,21346,61911,3.87E-07,2.75E-05,3.87E-07,0.000231873,shell
157,193,199,318,54973,152282,38951,129399,1.90E-05,0.002991512,2.65E-05,0.005272767,shell
167,199,134,168,35405,59134,23973,48893,1.22E-05,0.00204674,1.75E-05,0.002349033,shell
86,108,442,431,69137,145982,60523,142717,1.58E-07,1.36E-05,1.65E-07,7.32E-05,shell
137,186,376,434,46650,61804,46545,93366,8.36E-07,0.000114699,8.36E-07,0.000314989,shell
82,118,521,498,31355,84224,30529,91886,4.78E-07,3.95E-05,4.72E-07,0.000246163,shell
119,146,251,298,55249,141528,53297,141322,1.97E-07,2.36E-05,1.97E-07,4.94E-05,shell
162,196,131,165,55412,142980,38731,120911,1.89E-05,0.003064453,2.66E-05,0.003510457,shell
80,115,613,509,62440,132016,55658,131279,3.86E-07,3.13E-05,3.81E-07,0.000233802,shell
74,43,146,153,111942,197184,172376,225032,4.52E-06,0.000337127,3.01E-06,0.000440243,shell
162,196,131,165,50474,105692,35239,90031,2.08E-05,0.003364278,2.92E-05,0.003853919,shell
76,92,507,447,62274,139465,55110,136709,1.35E-07,1.03E-05,1.40E-07,7.09E-05,shell
73,34,145,149,102296,181465,149623,205407,1.06E-06,7.72E-05,7.43E-07,0.000108151,shell
76,105,636,507,20801,35119,21277,39739,3.98E-07,3.03E-05,3.93E-07,0.000250428,shell
161,207,332,389,31681,31868,33700,39545,1.37E-06,0.000221839,1.30E-06,0.000433333,shell
72,98,573,508,25307,75790,24926,82215,4.18E-07,3.04E-05,4.14E-07,0.000237556,shell
73,36,146,153,104865,187186,155781,212806,2.99E-06,0.000220474,2.06E-06,0.000302308,shell
72,96,628,514,47055,117063,41680,115415,3.67E-07,2.65E-05,3.63E-07,0.000228246,shell
87,128,487,492,27554,52400,26818,69875,5.07E-07,4.46E-05,5.14E-07,0.000250749,shell
156,193,141,172,44962,83191,31829,71050,2.33E-05,0.003641459,3.24E-05,0.004586701,shell
86,124,574,506,19342,27757,18641,28138,4.38E-07,3.78E-05,4.31E-07,0.000247653,shell
163,206,168,201,31454,40417,33114,35482,3.35E-05,0.005471485,3.18E-05,0.005362724,shell
101,148,521,496,29065,45523,29007,44836,5.07E-07,5.17E-05,5.07E-07,0.000264619,shell
161,196,144,175,47673,97806,33314,83004,2.20E-05,0.003545972,3.10E-05,0.004479911,shell
163,206,175,205,25380,27039,28267,32533,4.15E-05,0.006781067,3.73E-05,0.006538442,shell
90,95,143,152,98300,188644,137067,211777,5.40E-06,0.000490717,3.93E-06,0.000563638,shell
89,113,416,414,71825,148334,62615,144882,1.71E-07,1.53E-05,1.81E-07,7.52E-05,shell
89,130,590,504,39146,93976,35856,102494,4.26E-07,3.83E-05,4.19E-07,0.000247232,shell
162,196,131,165,80789,205657,56494,174522,1.30E-05,0.002101887,1.83E-05,0.002407798,shell
82,118,602,508,64215,133507,57286,132894,3.96E-07,3.27E-05,3.90E-07,0.000235378,shell
167,199,134,168,64419,125571,44368,106236,1.63E-05,0.002727433,2.33E-05,0.003130261,shell
165,205,293,383,59240,74306,55838,100601,1.44E-06,0.000237034,1.51E-06,0.00044198,shell
83,118,598,510,34233,54162,33246,69097,4.00E-07,3.34E-05,4.06E-07,0.000243007,shell
111,161,491,493,34975,63559,33630,82514,5.01E-07,5.57E-05,5.12E-07,0.000251682,shell
157,193,134,168,50991,53351,38195,45719,1.08E-05,0.001700909,1.41E-05,0.00189601,shell
70,93,548,506,13076,24880,13293,27734,4.60E-07,3.25E-05,4.56E-07,0.000250069,shell
162,196,131,165,57261,126831,40026,108210,1.83E-05,0.002965506,2.58E-05,0.003397109,shell
163,206,175,205,43530,76597,48544,89422,2.42E-05,0.003953644,2.18E-05,0.003812184,shell
86,125,492,489,31409,87151,30507,95350,5.22E-07,4.54E-05,5.14E-07,0.000253101,shell
163,206,175,205,26631,29742,29664,35322,3.95E-05,0.006462489,3.56E-05,0.006231262,shell
163,206,168,201,42231,75770,44497,59851,2.49E-05,0.004075325,2.37E-05,0.003994317,shell
120,170,475,490,31559,40643,32940,45497,5.99E-07,7.23E-05,5.80E-07,0.000275879,shell
152,199,183,203,31637,42190,36832,53638,3.31E-05,0.005054276,2.86E-05,0.005233388,shell
108,156,491,489,72734,143232,69638,128116,5.32E-07,5.77E-05,5.46E-07,0.000267969,shell
130,159,217,295,60753,149259,56616,141244,6.47E-07,8.43E-05,6.47E-07,0.000140997,shell
162,196,131,165,69524,142988,48607,122391,1.51E-05,0.002442442,2.12E-05,0.002797918,shell
108,156,512,492,26311,32185,27447,38197,5.48E-07,5.93E-05,5.34E-07,0.000273199,shell
161,201,157,194,46425,59059,46353,87272,2.26E-05,0.003646715,2.26E-05,0.003563786,shell
156,193,141,172,59612,145054,42256,124522,1.75E-05,0.002746517,2.44E-05,0.003459453,shell
74,35,144,152,103884,183567,154124,208354,2.46E-06,0.000181887,1.70E-06,0.000245531,shell
189,224,209,220,30674,27115,32750,31416,3.48E-05,0.00658521,3.26E-05,0.00682645,shell
86,125,598,504,37179,70533,38329,72489,4.41E-07,3.83E-05,4.34E-07,0.00025934,shell
161,207,333,389,34421,37384,36509,46659,1.36E-06,0.000219609,1.29E-06,0.000430061,shell
167,199,134,168,55832,142322,38392,119301,1.88E-05,0.00314693,2.69E-05,0.003611715,shell
99,146,514,499,30776,60211,29730,77725,4.68E-07,4.68E-05,4.77E-07,0.000245209,shell
163,206,175,205,29807,31953,33167,36565,3.53E-05,0.005773845,3.18E-05,0.005567258,shell
133,162,214,301,60753,149259,56616,141244,7.14E-07,9.53E-05,7.14E-07,0.000152827,shell
117,148,257,315,55251,142246,51439,134604,4.06E-07,4.76E-05,4.06E-07,0.000104509,shell
148,185,152,206,64512,138711,46129,117067,1.70E-05,0.002524449,2.32E-05,0.003542571,shell
169,210,175,206,90071,211482,95222,221752,1.17E-05,0.001984834,1.11E-05,0.001944743,shell
158,202,162,197,38931,55989,40909,86183,2.70E-05,0.004286973,2.57E-05,0.004182945,shell
82,103,464,439,66647,143731,58568,140643,1.49E-07,1.23E-05,1.55E-07,7.21E-05,shell
108,158,476,488,34430,58316,33176,79805,5.18E-07,5.64E-05,5.29E-07,0.000252013,shell
166,199,147,187,70762,183943,48743,154163,1.48E-05,0.002471641,2.12E-05,0.0031323,shell
88,129,485,493,35754,56394,33925,74233,4.95E-07,4.38E-05,5.09E-07,0.000246867,shell
108,156,510,492,32279,40615,33567,45010,5.42E-07,5.88E-05,5.28E-07,0.000269911,shell
157,193,199,314,51879,123426,36761,104999,2.02E-05,0.003169958,2.80E-05,0.005587292,shell
167,199,136,169,53223,108766,36648,91972,1.97E-05,0.003301155,2.82E-05,0.003833811,shell
161,207,332,389,31967,32057,33833,39343,1.37E-06,0.000221649,1.30E-06,0.000432962,shell
107,138,336,381,55251,142246,51439,134604,2.52E-07,2.72E-05,2.52E-07,8.47E-05,shell
162,196,131,165,35462,54399,24400,46465,1.24E-05,0.002005403,1.74E-05,0.002297272,shell
161,207,332,389,33329,31064,34892,39050,1.34E-06,0.000217626,1.28E-06,0.000425104,shell
80,102,492,451,49122,129736,46056,122717,1.48E-07,1.20E-05,1.48E-07,7.29E-05,shell
167,199,136,169,66698,175062,45940,146917,1.57E-05,0.002634244,2.25E-05,0.003059291,shell
169,210,182,210,26905,28209,29998,34111,3.92E-05,0.006644765,3.51E-05,0.006403175,shell
112,139,303,360,77458,146808,79052,154435,2.99E-07,3.35E-05,2.90E-07,8.83E-05,shell
78,110,625,507,32343,83940,29656,90713,3.88E-07,3.06E-05,3.84E-07,0.000240044,shell
96,141,544,501,22333,30312,23140,35251,4.93E-07,4.77E-05,4.83E-07,0.000262622,shell
77,96,493,434,41109,123375,38313,116663,1.41E-07,1.08E-05,1.41E-07,6.93E-05,shell
76,106,599,510,18061,28708,18491,32588,4.14E-07,3.18E-05,4.10E-07,0.000245488,shell
74,100,598,508,26819,49170,26213,61876,3.95E-07,2.93E-05,3.99E-07,0.000238912,shell
169,210,182,210,28495,33526,31959,34320,3.70E-05,0.006273907,3.31E-05,0.006045801,shell
169,210,182,210,27647,31658,31019,32348,3.82E-05,0.00646634,3.42E-05,0.006231237,shell
171,209,257,355,55498,63899,52292,87931,1.66E-06,0.000284409,1.75E-06,0.000450242,shell
149,173,144,163,67909,155449,56914,139951,5.88E-07,8.81E-05,6.46E-07,9.34E-05,shell
78,109,598,508,57732,127771,51362,126720,3.97E-07,3.10E-05,3.92E-07,0.000234529,shell
84,119,594,514,37492,54006,36360,68758,3.87E-07,3.26E-05,3.93E-07,0.000233391,shell
167,199,134,168,57434,141792,39562,119265,1.83E-05,0.003059116,2.61E-05,0.003510932,shell
125,175,452,466,65365,110475,53021,107489,6.45E-07,8.08E-05,6.23E-07,0.000282234,shell
75,93,495,427,38658,119718,36037,113192,1.41E-07,1.06E-05,1.41E-07,6.99E-05,shell
145,170,196,294,67202,155470,56374,140749,6.57E-07,9.54E-05,7.19E-07,0.000141092,shell
72,34,146,147,102793,181941,148654,205238,7.17E-07,5.20E-05,5.12E-07,7.49E-05,shell
167,199,134,168,53261,123627,36672,103847,1.97E-05,0.003298803,2.82E-05,0.003786019,shell
166,199,147,187,57311,143607,39469,120751,1.83E-05,0.003051754,2.62E-05,0.003867475,shell
167,199,134,168,46306,94144,31879,79395,2.27E-05,0.003794321,3.24E-05,0.004354723,shell
133,183,441,475,29033,32530,30559,38393,6.86E-07,9.15E-05,6.60E-07,0.000291804,shell
70,93,577,509,15871,29090,16144,32836,4.31E-07,3.05E-05,4.27E-07,0.000246491,shell
