mean_fpktl,std_fpktl,mean_bpktl,std_bpktl,mean_fiat,std_fiat,mean_biat,std_biat,fpkt_rate,fbyte_rate,bpkt_rate,bbyte_rate,class
45,3,48,18,38823,43269,20317,20354,1.66E-06,7.54E-05,2.07E-06,0.0001004,TELNET
42,2,52,47,131080,125852,118108,133485,2.00E-06,8.42E-05,1.90E-06,0.000100204,TELNET
41,2,50,40,172518,182987,197544,245338,1.95E-06,8.14E-05,1.78E-06,8.97E-05,TELNET
41,2,49,35,179361,173394,241751,254205,2.51E-06,0.000103505,1.93E-06,9.57E-05,TELNET
41,1,51,33,173520,161332,239707,240806,2.70E-06,0.00011147,1.98E-06,0.000101528,TELNET
41,1,52,31,165839,143323,234398,213766,3.34E-06,0.000137131,2.40E-06,0.000125136,TELNET
40,1,52,31,159667,136137,223556,202308,3.52E-06,0.000144393,2.53E-06,0.000133332,TELNET
46,3,48,18,38492,49219,47103,95870,1.24E-06,5.70E-05,1.69E-06,8.13E-05,TELNET
42,3,44,12,157413,146162,136952,148804,1.99E-06,8.42E-05,1.99E-06,8.93E-05,TELNET
41,2,44,12,184142,174468,182172,199913,2.42E-06,0.000100773,2.26E-06,0.000100975,TELNET
41,2,49,27,181608,167432,179228,192740,1.71E-06,7.09E-05,1.58E-06,7.74E-05,TELNET
41,2,65,131,178226,149339,198787,193718,2.19E-06,9.01E-05,1.82E-06,0.000119798,TELNET
46,3,49,19,10133,17143,10877,17693,1.52E-06,7.00E-05,1.94E-06,9.51E-05,TELNET
41,1,69,139,188919,169382,225899,227532,2.35E-06,9.67E-05,1.87E-06,0.000130543,TELNET
43,3,46,15,68521,66602,60004,83087,8.95E-07,3.88E-05,8.95E-07,4.17E-05,TELNET
41,2,51,42,140499,132363,158934,190536,1.83E-06,7.62E-05,1.54E-06,8.00E-05,TELNET
41,1,93,203,188806,167948,220411,226238,1.64E-06,6.73E-05,1.32E-06,0.000123334,TELNET
41,2,60,89,157514,146990,197251,218570,2.14E-06,8.84E-05,1.63E-06,9.93E-05,TELNET
41,1,105,218,189011,166538,218814,224162,1.50E-06,6.16E-05,1.22E-06,0.000128092,TELNET
41,2,97,228,158041,146133,190826,217759,1.35E-06,5.56E-05,1.05E-06,0.000102503,TELNET
41,2,116,250,158041,146133,190826,217759,1.19E-06,4.93E-05,9.39E-07,0.000109106,TELNET
42,3,45,13,122510,160161,124084,205370,2.65E-06,0.00011334,2.65E-06,0.000119485,TELNET
41,1,132,267,188539,165281,213374,223015,1.16E-06,4.74E-05,9.53E-07,0.000126013,TELNET
41,2,71,110,158124,145451,186295,213311,3.87E-06,0.000160627,3.26E-06,0.000231746,TELNET
41,1,136,270,188642,164606,212907,221923,1.12E-06,4.61E-05,9.29E-07,0.000126885,TELNET
41,2,157,253,147725,123271,172953,182112,3.74E-06,0.000155733,3.15E-06,0.000496224,TELNET
41,2,157,320,158143,145219,184773,216851,8.79E-07,3.63E-05,7.07E-07,0.000111035,TELNET
41,1,172,315,145078,124468,176208,188403,4.36E-06,0.000180114,3.57E-06,0.000617257,TELNET
41,1,155,306,188358,163966,208694,221703,9.49E-07,3.89E-05,7.94E-07,0.000123674,TELNET
