mean_fpktl,std_fpktl,mean_bpktl,std_bpktl,mean_fiat,std_fiat,mean_biat,std_biat,fpkt_rate,fbyte_rate,bpkt_rate,bbyte_rate,class
45,3,48,18,38823,43269,20317,20354,1.66E-06,7.54E-05,2.07E-06,0.0001004,TELNET
46,4,60,17,21859,40481,16003,33664,4.99E-05,0.002299807,6.65E-05,0.004054813,FTP
226,207,890,607,17430,28950,15731,27594,2.04E-06,0.000460794,2.04E-06,0.001815378,HTTP
225,248,231,254,40103,61819,42274,44619,2.64E-05,0.005958047,2.49E-05,0.005768833,localForwarding
8222,7849,62,41,9423,23976,14723,25909,0.000106219,0.873336809,6.80E-05,0.004268448,remoteForwarding
1469,183,56,32,2291,19632,5484,30431,0.000436549,0.641600537,0.000182301,0.010323034,scp
1450,245,64,54,7688,32157,13943,47655,0.000130256,0.188953722,7.17E-05,0.004649501,sftp
146,178,157,172,65529,92929,79573,102164,6.00E-06,0.00087654,5.03E-06,0.000792756,x11
152,190,144,179,82822,149643,63432,133623,1.26E-05,0.001918197,1.63E-05,0.002354437,shell
8235,7935,62,35,9434,24081,15009,26144,0.000106058,0.873453539,6.67E-05,0.004143648,remoteForwarding
168,210,203,228,20986,21561,23606,27315,5.03E-05,0.008476326,4.50E-05,0.009172539,remoteForwarding
6338,7738,101,135,11514,21357,16256,23367,8.81E-05,0.558534374,6.26E-05,0.006346024,remoteForwarding
8299,7960,63,43,11461,31996,17885,34621,8.73E-05,0.724874743,5.60E-05,0.003541664,remoteForwarding
7849,7885,69,72,18078,49373,25016,52663,5.55E-05,0.435887491,4.02E-05,0.002809976,remoteForwarding
8392,7904,61,34,12867,35815,19942,38706,7.78E-05,0.652611388,5.02E-05,0.003098349,remoteForwarding
8276,8032,62,43,15763,45488,24062,49752,6.33E-05,0.524206923,4.16E-05,0.002617757,remoteForwarding
8395,7908,61,31,13795,39357,21258,42913,7.25E-05,0.60883218,4.71E-05,0.002875699,remoteForwarding
7143,6798,72,81,22656,61017,26737,59467,4.39E-05,0.313862115,3.77E-05,0.002717103,remoteForwarding
8327,8015,61,35,16009,46586,24404,51140,6.25E-05,0.520505433,4.10E-05,0.00252439,remoteForwarding
8285,8017,61,35,16327,47043,24777,51583,6.13E-05,0.507821969,4.04E-05,0.00249181,remoteForwarding
168,210,155,199,41307,34593,30979,33944,2.56E-05,0.00430642,3.36E-05,0.005219618,remoteForwarding
7084,6925,70,77,23093,63752,27164,61122,4.31E-05,0.305585286,3.70E-05,0.002602897,remoteForwarding
8414,7879,60,28,14485,41520,22060,45259,6.91E-05,0.581060313,4.54E-05,0.002753405,remoteForwarding
8016,7665,62,44,17954,52371,24843,54697,5.57E-05,0.446723519,4.03E-05,0.002520348,remoteForwarding
8003,7662,62,46,22262,64050,29294,65448,4.49E-05,0.359076839,3.42E-05,0.002144661,remoteForwarding
8431,7873,60,27,15555,45339,23337,49392,6.43E-05,0.541785253,4.29E-05,0.002590474,remoteForwarding
8183,7823,61,36,19636,58558,27386,62047,5.09E-05,0.41663932,3.66E-05,0.002238231,remoteForwarding
8196,7878,60,33,20462,60770,28621,64648,4.89E-05,0.400842184,3.50E-05,0.002129848,remoteForwarding
8191,7843,61,37,21469,63009,29585,65946,4.66E-05,0.38188482,3.38E-05,0.002074139,remoteForwarding
8442,7880,60,26,16234,47579,24171,51544,6.16E-05,0.52014806,4.14E-05,0.002493733,remoteForwarding
168,210,155,199,41640,34850,31228,34625,2.53E-05,0.004271988,3.34E-05,0.005177884,remoteForwarding
8263,7873,60,32,20461,60645,28735,64121,4.89E-05,0.40409981,3.48E-05,0.002111921,remoteForwarding
8442,7894,60,25,16504,48630,24590,52720,6.06E-05,0.511652141,4.07E-05,0.00244668,remoteForwarding
7852,7421,67,65,23410,62723,29554,63313,4.28E-05,0.336087768,3.40E-05,0.002283586,remoteForwarding
8307,7920,60,30,20805,61607,29353,65455,4.80E-05,0.399112049,3.41E-05,0.002055722,remoteForwarding
8431,7881,59,24,17028,50368,25115,54259,5.87E-05,0.495255236,3.98E-05,0.002388938,remoteForwarding
8208,7765,62,44,22711,64569,30350,67371,4.41E-05,0.361932768,3.30E-05,0.002059854,remoteForwarding
8324,7936,60,28,21067,62494,29642,66289,4.75E-05,0.395303068,3.38E-05,0.002026599,remoteForwarding
8436,7878,59,23,17470,51659,25648,55611,5.72E-05,0.482977322,3.90E-05,0.002335678,remoteForwarding
8291,7790,61,36,22524,64952,30581,68738,4.44E-05,0.36809799,3.27E-05,0.00199982,remoteForwarding
8343,7950,59,26,21216,62876,29935,66735,4.71E-05,0.393162966,3.34E-05,0.002001827,remoteForwarding
8443,7896,59,23,17875,53038,26206,57187,5.60E-05,0.472447252,3.82E-05,0.002283775,remoteForwarding
8353,7848,60,32,22507,64870,30800,68961,4.44E-05,0.371311639,3.25E-05,0.001966736,remoteForwarding
8345,7965,59,25,21293,63003,30111,66935,4.70E-05,0.392046241,3.32E-05,0.001986403,remoteForwarding
8440,7904,59,22,18184,53974,26590,58166,5.50E-05,0.464200088,3.76E-05,0.002248067,remoteForwarding
8351,7878,60,30,22436,65030,30815,69323,4.46E-05,0.372390858,3.25E-05,0.001953233,remoteForwarding
8358,7957,59,25,21383,63188,30202,67069,4.68E-05,0.390971482,3.31E-05,0.001977133,remoteForwarding
8438,7911,59,22,18458,54861,26901,59087,5.42E-05,0.457180716,3.72E-05,0.002219635,remoteForwarding
8362,7909,59,28,22394,65156,30923,69521,4.46E-05,0.373325751,3.24E-05,0.001939331,remoteForwarding
185,217,140,185,55016,41738,38275,43229,1.93E-05,0.003573506,2.73E-05,0.003840439,remoteForwarding
8368,7974,59,24,21998,65568,31099,69704,4.54E-05,0.380316094,3.22E-05,0.001918194,remoteForwarding
8430,7904,59,22,18983,56777,27531,61016,5.27E-05,0.444184644,3.63E-05,0.00216639,remoteForwarding
8369,7919,59,27,23193,68254,32014,72600,4.31E-05,0.36075279,3.13E-05,0.001868905,remoteForwarding
7831,7805,65,59,29831,88932,38751,93160,3.35E-05,0.262304116,2.59E-05,0.001699953,remoteForwarding
8380,7982,59,23,22586,67689,31930,72093,4.43E-05,0.370977893,3.13E-05,0.001866894,remoteForwarding
8434,7911,59,21,19470,58627,28178,63041,5.14E-05,0.43317265,3.55E-05,0.002115315,remoteForwarding
8374,7932,59,26,23855,70378,32901,74817,4.19E-05,0.351074916,3.04E-05,0.001815323,remoteForwarding
8120,7941,62,46,29927,89974,40312,95012,3.34E-05,0.271206545,2.49E-05,0.001556788,remoteForwarding
8387,7992,59,23,23081,69576,32634,74210,4.33E-05,0.363452286,3.07E-05,0.001825433,remoteForwarding
8436,7912,59,21,19924,60321,28739,64832,5.02E-05,0.42346812,3.48E-05,0.002072496,remoteForwarding
8364,7920,59,25,24388,72441,33542,76927,4.10E-05,0.342955492,2.98E-05,0.001777115,remoteForwarding
8233,7986,61,39,30101,90611,40974,95511,3.33E-05,0.273791648,2.44E-05,0.001501688,remoteForwarding
8392,7988,59,23,23602,71426,33268,76139,4.24E-05,0.355546801,3.01E-05,0.001788983,remoteForwarding
8437,7920,59,21,20397,62194,29402,66875,4.90E-05,0.413585047,3.40E-05,0.0020249,remoteForwarding
8365,7928,59,24,25000,74756,34346,79274,4.00E-05,0.334551416,2.91E-05,0.001733191,remoteForwarding
7323,7726,76,91,40257,117096,48446,120587,2.48E-05,0.181942162,2.08E-05,0.001586453,remoteForwarding
8275,8008,60,35,30461,92244,41618,97442,3.28E-05,0.271615054,2.41E-05,0.001462866,remoteForwarding
8260,8024,60,33,31894,96862,43644,102610,3.14E-05,0.25915122,2.29E-05,0.001392292,remoteForwarding
8394,7980,59,22,24241,73765,34037,78610,4.13E-05,0.346369928,2.94E-05,0.001746941,remoteForwarding
8438,7924,59,21,20952,64603,30125,69487,4.77E-05,0.402808931,3.32E-05,0.001975281,remoteForwarding
8372,7941,59,24,25696,77560,35290,82374,3.89E-05,0.32578944,2.83E-05,0.001685386,remoteForwarding
7997,7787,64,55,37613,112831,47440,116592,2.66E-05,0.213119943,2.11E-05,0.001362019,remoteForwarding
168,210,155,199,65329,51107,48995,49009,1.62E-05,0.002722933,2.13E-05,0.003300344,remoteForwarding
7219,8119,76,92,46662,136879,54652,141772,2.16E-05,0.155909652,1.85E-05,0.001406601,remoteForwarding
8392,7981,59,22,24650,75405,34532,80358,4.06E-05,0.340510335,2.90E-05,0.001720479,remoteForwarding
8441,7925,59,21,21354,66186,30666,71162,4.68E-05,0.395340776,3.26E-05,0.001939785,remoteForwarding
8385,7952,59,23,26195,79456,36038,84527,3.82E-05,0.320191267,2.78E-05,0.00164961,remoteForwarding
8146,7882,62,44,34937,106455,45683,110972,2.87E-05,0.233490611,2.19E-05,0.001362251,remoteForwarding
