mean_fpktl,std_fpktl,mean_bpktl,std_bpktl,mean_fiat,std_fiat,mean_biat,std_biat,fpkt_rate,fbyte_rate,bpkt_rate,bbyte_rate,class
45,3,48,18,38823,43269,20317,20354,1.65722E-06,7.54036E-05,2.07153E-06,0.0001004,TELNET
42,2,52,47,131080,125852,118108,133485,1.99726E-06,8.41771E-05,1.89983E-06,0.000100204,TELNET
41,2,50,40,172518,182987,197544,245338,1.95086E-06,8.13979E-05,1.78268E-06,8.96722E-05,TELNET
41,2,49,35,179361,173394,241751,254205,2.50981E-06,0.000103505,1.93062E-06,9.56622E-05,TELNET
41,1,51,33,173520,161332,239707,240806,2.70455E-06,0.00011147,1.98463E-06,0.000101528,TELNET
41,1,52,31,165839,143323,234398,213766,3.34108E-06,0.000137131,2.3958E-06,0.000125136,TELNET
40,1,52,31,159667,136137,223556,202308,3.52214E-06,0.000144393,2.53294E-06,0.000133332,TELNET
46,3,48,18,38492,49219,47103,95870,1.23849E-06,5.69705E-05,1.68885E-06,8.129E-05,TELNET
42,3,44,12,157413,146162,136952,148804,1.99124E-06,8.42404E-05,1.99124E-06,8.92738E-05,TELNET
41,2,44,12,184142,174468,182172,199913,2.41759E-06,0.000100773,2.25642E-06,0.000100975,TELNET
41,2,49,27,181608,167432,179228,192740,1.70551E-06,7.09335E-05,1.5763E-06,7.74455E-05,TELNET
41,2,65,131,178226,149339,198787,193718,2.18558E-06,9.01193E-05,1.81791E-06,0.000119798,TELNET
46,3,49,19,10133,17143,10877,17693,1.52212E-06,7.00176E-05,1.93725E-06,9.50635E-05,TELNET
41,1,69,139,188919,169382,225899,227532,2.35145E-06,9.67079E-05,1.86623E-06,0.000130543,TELNET
43,3,46,15,68521,66602,60004,83087,8.9532E-07,3.87837E-05,8.9532E-07,4.16731E-05,TELNET
41,2,51,42,140499,132363,158934,190536,1.82985E-06,7.61856E-05,1.5394E-06,7.99615E-05,TELNET
41,1,93,203,188806,167948,220411,226238,1.63853E-06,6.73448E-05,1.32099E-06,0.000123334,TELNET
41,2,60,89,157514,146990,197251,218570,2.13784E-06,8.84058E-05,1.63482E-06,9.92711E-05,TELNET
41,1,105,218,189011,166538,218814,224162,1.49966E-06,6.15877E-05,1.21777E-06,0.000128092,TELNET
41,2,97,228,158041,146133,190826,217759,1.34668E-06,5.56474E-05,1.05258E-06,0.000102503,TELNET
41,2,116,250,158041,146133,190826,217759,1.19366E-06,4.92888E-05,9.38834E-07,0.000109106,TELNET
42,3,45,13,122510,160161,124084,205370,2.64681E-06,0.00011334,2.64681E-06,0.000119485,TELNET
41,1,132,267,188539,165281,213374,223015,1.15554E-06,4.74195E-05,9.53113E-07,0.000126013,TELNET
41,2,71,110,158124,145451,186295,213311,3.8652E-06,0.000160627,3.25781E-06,0.000231746,TELNET
41,1,136,270,188642,164606,212907,221923,1.12288E-06,4.60622E-05,9.29E-07,0.000126885,TELNET
41,2,157,253,147725,123271,172953,182112,3.74421E-06,0.000155733,3.14779E-06,0.000496224,TELNET
41,2,157,320,158143,145219,184773,216851,8.79255E-07,3.62692E-05,7.07226E-07,0.000111035,TELNET
41,1,172,315,145078,124468,176208,188403,4.35641E-06,0.000180114,3.56881E-06,0.000617257,TELNET
41,1,155,306,188358,163966,208694,221703,9.48649E-07,3.89013E-05,7.93905E-07,0.000123674,TELNET
41,2,162,322,158667,144398,183717,215289,8.56385E-07,3.53031E-05,6.92397E-07,0.000112833,TELNET
41,1,227,399,127301,115138,144371,170058,4.75496E-06,0.000196453,4.14333E-06,0.000941423,TELNET
40,1,165,312,188460,163308,208375,220626,9.07427E-07,3.71919E-05,7.62491E-07,0.000125981,TELNET
41,1,212,386,128827,114231,149570,171239,4.50828E-06,0.000185863,3.78167E-06,0.000802276,TELNET
41,2,190,364,158322,143549,178157,214308,7.13187E-07,2.93818E-05,5.86894E-07,0.000111881,TELNET
41,1,217,387,136313,122260,161443,183443,4.33346E-06,0.000178635,3.56873E-06,0.000775633,TELNET
41,2,204,370,158322,143549,178157,214308,6.77427E-07,2.7892E-05,5.59914E-07,0.000114561,TELNET
41,1,206,376,144634,136686,176129,200987,4.17136E-06,0.00017176,3.34954E-06,0.000692297,TELNET
40,1,188,344,188426,162654,204372,220354,7.79166E-07,3.19193E-05,6.62556E-07,0.00012473,TELNET
40,1,192,346,188426,162654,204372,220354,7.64098E-07,3.12971E-05,6.50516E-07,0.000125245,TELNET
41,2,235,403,158783,142744,172923,213247,5.78339E-07,2.37921E-05,4.86721E-07,0.000114843,TELNET
40,1,208,369,188110,162046,200519,220024,6.85756E-07,2.80794E-05,5.8975E-07,0.000123134,TELNET
41,2,241,404,158783,142744,172923,213247,5.67717E-07,2.33488E-05,4.78663E-07,0.000115675,TELNET
41,2,239,402,156927,142920,172923,213247,5.54902E-07,2.28097E-05,4.64197E-07,0.000111103,TELNET
40,1,212,371,188358,162782,204080,222059,6.82505E-07,2.79336E-05,5.84367E-07,0.000124185,TELNET
46,3,45,5,74780,48260,78839,51514,8.03471E-07,3.72275E-05,9.37383E-07,4.21822E-05,TELNET
42,2,53,46,183249,125809,176207,178872,2.40372E-06,0.000101542,2.46235E-06,0.000131618,TELNET
43,2,142,155,152434,140763,153797,177094,3.52406E-06,0.000151535,3.41507E-06,0.00048821,TELNET
43,2,189,129,115387,114402,116007,140554,5.6799E-06,0.000247062,5.5199E-06,0.001044115,TELNET
