min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,class
40,45,50,3,40,48,113,18,361,38823,148143,43269,182,20317,58785,20354,7241033,6,12,546,15,727,TELNET
40,46,56,4,40,60,98,17,324,21859,134036,40481,213,16003,129174,33664,240455,6,12,553,16,975,FTP
52,226,460,207,52,890,1500,607,152,17430,93203,28950,598,15731,90358,27594,6870746,6,14,3166,14,12473,HTTP
52,225,756,248,52,231,804,254,136,40103,252552,61819,67,42274,154743,44619,681767,6,18,4062,17,3933,localForwarding
52,8222,16436,7849,52,62,756,41,2,9423,150012,23976,33,14723,139626,25909,9998248,6,1062,8731838,680,42677,remoteForwarding
52,1469,1500,183,52,56,756,32,6,2291,830254,19632,32,5484,830068,30431,5754219,6,2512,3691910,1049,59401,scp
52,1450,1500,245,52,64,756,54,6,7688,340533,32157,50,13943,404559,47655,5312613,6,692,1003838,381,24701,sftp
52,146,692,178,52,157,756,172,148,65529,347011,92929,68,79573,384275,102164,5168046,6,31,4530,26,4097,x11
52,152,692,190,52,144,756,179,83,82822,557565,149643,130,63432,557507,133623,1904914,6,24,3654,31,4485,shell
52,8235,16436,7935,52,62,756,35,2,9434,150012,24081,33,15009,139626,26144,14784317,6,1568,12913414,986,61261,remoteForwarding
52,168,692,210,52,203,756,228,48,20986,66059,21561,35,23606,95006,27315,377758,6,19,3202,17,3465,remoteForwarding
52,6338,16436,7738,52,101,756,135,30,11514,113282,21357,33,16256,99632,23367,783010,6,69,437338,49,4969,remoteForwarding
52,8299,16436,7960,52,63,756,43,3,11461,275943,31996,12,17885,274306,34621,10785044,6,942,7817806,604,38197,remoteForwarding
52,7849,16436,7885,52,69,756,72,4,18078,391090,49373,14,25016,390158,52663,4628153,6,257,2017354,186,13005,remoteForwarding
52,8392,16436,7904,52,61,756,34,2,12867,275943,35815,12,19942,274306,38706,20780425,6,1616,13561542,1043,64385,remoteForwarding
52,8276,16436,8032,52,62,756,43,2,15763,391090,45488,13,24062,390158,49752,14557881,6,922,7631342,606,38109,remoteForwarding
52,8395,16436,7908,52,61,756,31,2,13795,315571,39357,12,21258,305175,42913,30764343,6,2231,18730322,1448,88469,remoteForwarding
52,7143,16436,6798,52,72,756,81,22,22656,514316,61017,13,26737,513918,59467,3823558,6,168,1200070,144,10389,remoteForwarding
52,8327,16436,8015,52,61,756,35,2,16009,391090,46586,12,24404,390158,51140,24575048,6,1536,12791446,1008,62037,remoteForwarding
52,8285,16436,8017,52,61,756,35,2,16327,391090,47043,12,24777,390158,51583,25421283,6,1558,12909486,1027,63345,remoteForwarding
52,168,692,210,52,155,756,199,57,41307,108867,34593,71,30979,108419,33944,743541,6,19,3202,25,3881,remoteForwarding
52,7084,16436,6925,52,70,756,77,22,23093,546295,63752,56,27164,544630,61122,4427759,6,191,1353058,164,11525,remoteForwarding
52,8414,16436,7879,52,60,756,28,2,14485,315571,41520,12,22060,305175,45259,40748455,6,2814,23677310,1848,112197,remoteForwarding
52,8016,16436,7665,52,62,756,44,3,17954,514316,52371,13,24843,513918,54697,13763578,6,767,6148514,555,34689,remoteForwarding
52,8003,16436,7662,52,62,756,46,3,22262,546295,64050,11,29294,544630,65448,14354248,6,644,5154278,491,30785,remoteForwarding
52,8431,16436,7873,52,60,756,27,2,15555,327095,45339,12,23337,317132,49392,50548659,6,3248,27386518,2167,130945,remoteForwarding
52,8183,16436,7823,52,61,756,36,3,19636,514316,58558,13,27386,513918,62047,23826407,6,1213,9927018,871,53329,remoteForwarding
52,8196,16436,7878,52,60,756,33,3,20462,514316,60770,13,28621,513918,64648,32228120,6,1576,12918390,1127,68641,remoteForwarding
52,8191,16436,7843,52,61,756,37,2,21469,546295,63009,11,29585,544630,65946,24496428,6,1142,9354814,829,50809,remoteForwarding
