min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,class
40,45,50,3,40,48,113,18,361,38823,148143,43269,182,20317,58785,20354,7241033,6,12,546,15,727,TELNET
40,42,50,2,40,52,327,47,361,131080,704069,125852,182,118108,698793,133485,20528146,6,41,1728,39,2057,TELNET
40,41,50,2,40,50,327,40,72,172518,805403,182987,182,197544,1003383,245338,29730497,6,58,2420,53,2666,TELNET
40,41,50,2,40,49,327,35,72,179361,820682,173394,182,241751,1022157,254205,41437454,6,104,4289,80,3964,TELNET
40,41,50,1,40,51,327,33,72,173520,820682,161332,182,239707,1022157,240806,51394902,6,139,5729,102,5218,TELNET
40,41,50,1,40,52,327,31,72,165839,820682,143323,182,234398,1022157,213766,61357481,6,205,8414,147,7678,TELNET
40,40,50,1,40,52,327,31,72,159667,820682,136137,182,223556,1022157,202308,66720756,6,235,9634,169,8896,TELNET
40,46,50,3,40,48,113,18,374,38492,152544,49219,59,47103,333521,95870,8881782,6,11,506,15,722,TELNET
40,42,50,3,40,44,113,12,374,157413,603487,146162,59,136952,598210,148804,18079216,6,36,1523,36,1614,TELNET
40,41,50,2,40,44,113,12,374,184142,905222,174468,59,182172,931445,199913,24818088,6,60,2501,56,2506,TELNET
40,41,50,2,40,49,192,27,374,181608,905222,167432,59,179228,931445,192740,38698197,6,66,2745,61,2997,TELNET
40,41,50,2,40,65,1238,131,374,178226,905222,149339,59,198787,931445,193718,48957346,6,107,4412,89,5865,TELNET
40,46,50,3,40,49,113,19,349,10133,40198,17143,327,10877,40405,17693,7226752,6,11,506,14,687,TELNET
40,41,50,1,40,69,1238,139,374,188919,911521,169382,59,225899,1112968,227532,53584042,6,126,5182,100,6995,TELNET
40,43,50,3,40,46,113,15,349,68521,201163,66602,264,60004,279955,83087,24572207,6,22,953,22,1024,TELNET
40,41,50,2,40,51,327,42,349,140499,897442,132363,264,158934,1098891,190536,34429069,6,63,2623,53,2753,TELNET
40,41,50,1,40,93,1300,203,374,188806,911521,167948,59,220411,1112968,226238,78729110,6,129,5302,104,9710,TELNET
40,41,50,2,40,60,705,89,349,157514,897442,146990,264,197251,1098891,218570,39759821,6,85,3515,65,3947,TELNET
40,41,50,1,40,105,1300,218,374,189011,911521,166538,59,218814,1112968,224162,88686549,6,133,5462,108,11360,TELNET
40,41,50,2,40,97,1300,228,349,158041,897442,146133,21,190826,1098891,217759,64603142,6,87,3595,68,6622,TELNET
40,41,50,2,40,116,1300,250,349,158041,897442,146133,21,190826,1098891,217759,74560589,6,89,3675,70,8135,TELNET
40,42,50,3,40,45,113,13,336,122510,734587,160161,61,124084,975099,205370,10578773,6,28,1199,28,1264,TELNET
40,41,50,1,40,132,1300,267,374,188539,911521,165281,59,213374,1112968,223015,118558885,6,137,5622,113,14940,TELNET
40,41,50,2,40,71,751,110,336,158124,747887,145451,61,186295,975099,213311,18110309,6,70,2909,59,4197,TELNET
40,41,50,1,40,136,1300,270,374,188642,911521,164606,59,212907,1112968,221923,123789053,6,139,5702,115,15707,TELNET
40,41,50,2,40,157,753,253,336,147725,747887,123271,61,172953,975099,182112,30179942,6,113,4700,95,14976,TELNET
40,41,50,2,40,157,1300,320,349,158143,897442,145219,21,184773,1098891,216851,104634091,6,92,3795,74,11618,TELNET
40,41,50,1,40,172,1300,315,336,145078,939132,124468,61,176208,1140577,188403,40629753,6,177,7318,145,25079,TELNET
40,41,50,1,40,155,1300,306,374,188358,911521,163966,59,208694,1112968,221703,148632464,6,141,5782,118,18382,TELNET
40,41,50,2,40,162,1300,322,349,158667,897442,144398,21,183717,1098891,215289,109763682,6,94,3875,76,12385,TELNET
40,41,50,1,40,227,1300,399,336,127301,939132,115138,61,144371,1140577,170058,50683899,6,241,9957,210,47715,TELNET
40,40,50,1,40,165,1300,312,374,188460,911521,163308,59,208375,1112968,220626,158690408,6,144,5902,121,19992,TELNET
40,41,50,1,40,212,1300,386,336,128827,939132,114231,61,149570,1140577,171239,60555251,6,273,11255,229,48582,TELNET
40,41,50,2,40,190,1300,364,349,158322,897442,143549,21,178157,1098891,214308,134607005,6,96,3955,79,15060,TELNET
40,41,50,1,40,217,1300,387,336,136313,939132,122260,61,161443,1140577,183443,70613290,6,306,12614,252,54770,TELNET
40,41,50,2,40,204,1300,370,349,158322,897442,143549,21,178157,1098891,214308,144665043,6,98,4035,81,16573,TELNET
40,41,50,1,40,206,1300,376,336,144634,954330,136686,61,176129,1140577,200987,80309506,6,335,13794,269,55598,TELNET
40,40,50,1,40,188,1300,344,374,188426,911521,162654,59,204372,1112968,220354,188663329,6,147,6022,125,23532,TELNET
40,40,50,1,40,192,1300,346,374,188426,911521,162654,59,204372,1112968,220354,193692344,6,148,6062,126,24259,TELNET
40,41,50,2,40,235,1300,403,349,158783,897442,142744,21,172923,1098891,213247,174637949,6,101,4155,85,20056,TELNET
40,40,50,1,40,208,1300,369,374,188110,911521,162046,59,200519,1112968,220024,218736818,6,150,6142,129,26934,TELNET
40,41,50,2,40,241,1300,404,349,158783,897442,142744,21,172923,1098891,213247,179666966,6,102,4195,86,20783,TELNET
